origin area unit,destination area unit,distance (kilometers),time (hours)
Alicetown,Norsewood-Herbertville,261.837,52.367
Alicetown,Northland,14.923,2.985
Alicetown,Northland North,14.419,2.884
Alicetown,Onepoto,31.11,6.222
Alicetown,Opaki-Fernridge,129.58,25.916
Alicetown,Oriental Bay,15.787,3.157
Alicetown,Otaihanga,69.919,13.985
Alicetown,Owahanga,220.521,44.104
Alicetown,Paekakariki,55.861,11.174
Alicetown,Pahiatua,198.616,39.723
Alicetown,Papakowhai North,30.093,6.02
Alicetown,Papakowhai South,29.271,5.856
Alicetown,Paparangi,17.06,3.412
Alicetown,Paparangi West,16.654,3.331
Alicetown,Paraparaumu Beach North,67.968,13.595
Alicetown,Paraparaumu Beach South,65.952,13.192
Alicetown,Paraparaumu Central,65.837,13.169
Alicetown,Paremata-Postgate,32.036,6.409
Alicetown,Parkway,7.949,1.59
Alicetown,Petone Central,1.784,0.357
Alicetown,Pinehaven,16.104,3.221
Alicetown,Plimmerton,47.005,9.403
Alicetown,Poets Block,17.907,3.581
Alicetown,Porirua Central,26.364,5.273
Alicetown,Porirua East,27.601,5.52
Alicetown,Pukerua Bay,49.432,9.888
Alicetown,Rangoon Heights,13.525,2.705
Alicetown,Ranui Heights,28.226,5.645
Alicetown,Raroa,14.536,2.907
Alicetown,Raumati Beach,62.993,12.6
Alicetown,Raumati South,61.048,12.211
Alicetown,Resolution,17.997,3.599
Alicetown,Roseneath,16.948,3.39
Alicetown,Seatoun,22.624,4.525
Alicetown,Seatoun Tunnel West,21.361,4.272
Alicetown,Solway North,129.012,25.802
Alicetown,Solway South,123.537,24.707
Alicetown,Strathmore Park,21.66,4.332
Alicetown,Taita North,8.501,1.7
Alicetown,Taita South,7.411,1.482
Alicetown,Taitville,15.491,3.098
Alicetown,Takapu,24.842,4.968
Alicetown,Tawa Central,22.52,4.504
Alicetown,Tawa South,21.146,4.229
Alicetown,Tawhai,12.321,2.464
Alicetown,Te Kainga,12.286,2.457
Alicetown,Te Marua,29.594,5.919
Alicetown,Thorndon-Tinakori Road,12.424,2.485
Alicetown,Tirohanga,3.402,0.68
Alicetown,Titahi Bay North,31.159,6.232
Alicetown,Titahi Bay South,30.309,6.062
Alicetown,Totara Park,22.002,4.4
Alicetown,Trentham North,17.189,3.438
Alicetown,Trentham South,16.659,3.332
Alicetown,Tuturumuri,107.415,21.483
Alicetown,Upper Hutt Central,19.344,3.869
Alicetown,Vogeltown,17.281,3.456
Alicetown,Vogeltown West,17.352,3.47
Alicetown,Wadestown,13.443,2.689
Alicetown,Waikanae Beach,72.653,14.532
Alicetown,Waikanae East,57.481,11.496
Alicetown,Waikanae Park,75.026,15.007
Alicetown,Waikanae West,75.491,15.1
Alicetown,Waingawa,113.567,22.713
Alicetown,Waitangirua,30.818,6.164
Alicetown,Waiwhetu North,3.703,0.741
Alicetown,Waiwhetu South,3.844,0.769
Alicetown,Wallaceville,18.703,3.741
Alicetown,Waterloo East,4.31,0.862
Alicetown,Waterloo West,2.692,0.538
Alicetown,Whareama,150.692,30.138
Alicetown,Wilford,1.27,0.254
Alicetown,Willis Street-Cambridge Terrace,14.807,2.961
Alicetown,Wilton,14.9,2.98
Alicetown,Woburn North,2.09,0.418
Alicetown,Woburn South,2.287,0.457
Alicetown,Woodridge,18.323,3.665
Alicetown,Woodville,232.249,46.45
Arakura,Adelaide,26.573,5.315
Arakura,Adventure,40.73,8.146
Arakura,Alicetown,10.369,2.074
Arakura,Arakura,0.0,0.0
Arakura,Aro Street-Nairn Street,24.999,5.0
Arakura,Ascot Park,39.934,7.988
Arakura,Avalon East,8.05,1.61
Arakura,Avalon West,8.663,1.733
