AU name,AU name,Total_CycleTime,Total_Length
Ngauranga East,Johnsonville North,31.973396105,8526.2389613235
Ngauranga East,Mt Cook-Wallace Street,31.9741984344,8526.4529158451
Ngauranga East,Wilford,34.1075218885,9095.3391702567
Ngauranga East,Alicetown,34.1810451944,9114.9453851616
Ngauranga East,Paparangi West,34.3090737489,9149.0863330528
Ngauranga East,Karori North,34.3765190023,9167.0717339418
Ngauranga East,Newlands North,34.6029390322,9227.4504085899
Ngauranga East,Churton Park South,34.8873884646,9303.3035905657
Ngauranga East,Newlands South,34.9542085764,9321.1222870385
Ngauranga East,Roseneath,35.3941975494,9438.4526798511
Ngauranga East,Paparangi,35.9109264436,9576.2470516297
Ngauranga East,Adelaide,36.3142747284,9683.8065942392
Ngauranga East,Newtown West,36.6008007293,9760.2135278147
Ngauranga East,Hataitai North,36.6701242247,9778.6997932665
Ngauranga East,Vogeltown,36.7636218915,9803.6325043924
Ngauranga East,Brooklyn,37.5013899578,10000.3706554204
Ngauranga East,Vogeltown West,37.5572333562,10015.2622283076
Ngauranga East,Melling,37.83179463,10088.4785679898
Ngauranga East,Maungaraki,38.963117807,10390.1647485346
Ngauranga East,Kilbirnie West-Hataitai South,39.2776660659,10474.0442842503
Ngauranga East,Moera,39.4214419912,10512.3845309786
Ngauranga East,Brooklyn South,39.7020229895,10587.2061305208
Ngauranga East,Crofton Downs,39.9419083806,10651.1755681574
Ngauranga East,Newtown East,40.209540983,10722.5442621372
Ngauranga East,Hutt Central,40.2941203204,10745.0987521164
Ngauranga East,Gracefield,40.3397534594,10757.2675891686
Ngauranga East,Newlands East,40.5263780281,10807.0341408177
Ngauranga East,Woodridge,40.6488975844,10839.7060225178
Ngauranga East,Glenside North,40.8279046315,10887.441235079
Ngauranga East,Kingston-Mornington,41.073104246,10952.8277989282
Ngauranga East,Berhampore West,41.1190019051,10965.0671747053
Ngauranga East,Karori Park,41.3481334205,11026.1689121217
Ngauranga East,Karori South,41.3626701827,11030.0453820515
Ngauranga East,Berhampore East,41.4197522206,11045.2672588137
Ngauranga East,Grenada Village,41.5721828572,11085.9154285826
Ngauranga East,Woburn North,41.8237794616,11153.0078564261
Ngauranga East,Woburn South,42.5624861579,11349.9963087856
Ngauranga East,Churton Park North,42.972952429,11459.4539810791
Ngauranga East,Kilbirnie East,43.3014042691,11547.0411384133
Ngauranga East,Waterloo West,43.8921807814,11704.5815417132
Ngauranga East,Normandale,44.6027756123,11894.0734966097
Ngauranga East,Tirohanga,45.8485481147,12226.2794972455
Ngauranga East,Happy Valley-Owhiro Bay,46.6869581716,12449.8555124208
Ngauranga East,Waiwhetu South,47.1800836508,12581.3556402213
Ngauranga East,Waiwhetu North,47.2556646268,12601.5105671357
Ngauranga East,Island Bay East,47.3734607146,12632.9228572303
Ngauranga East,Epuni West,47.3846899884,12635.9173302526
Ngauranga East,Melrose-Houghton Bay-Southgate,47.6798339627,12714.6223900605
Ngauranga East,Boulcott,47.9195746114,12778.5532297047
Ngauranga East,Island Bay West,48.412198944,12909.9197184028
Ngauranga East,Lyall Bay-Airport-Moa Point,49.1876449701,13116.7053253495
Ngauranga East,Waterloo East,50.0568760298,13348.5002746142
Ngauranga East,Miramar South,50.577330161,13487.2880429305
Ngauranga East,Tawa South,50.9625031227,13590.0008327075
Ngauranga East,Epuni East,51.0392123751,13610.4566333611
Ngauranga East,Karori East,52.3805917419,13624.3119725526
Ngauranga East,Seatoun Tunnel West,52.8679510244,14098.1202731812
Ngauranga East,Strathmore Park,53.9877756383,14396.7401702254
Ngauranga East,Miramar,54.0326062595,14408.6950025216
Ngauranga East,Avalon West,55.2297435175,14727.9316046784
Ngauranga East,Avalon East,55.2503331784,14733.4221809006
Ngauranga East,Miramar West,55.5609769724,14816.2605259632
Ngauranga East,Tawa Central,56.114851559,14963.9604157351
Ngauranga East,Grenada North,56.9541860233,15187.7829395556
Ngauranga East,Naenae South,57.4652226636,15324.0593769625
Ngauranga East,Seatoun,57.603163582,15360.8436218548
Ngauranga East,Miramar North,58.06803968,15484.8105813346
Ngauranga East,Karaka Bay-Worser Bay,58.694515965,15651.8709240039
Ngauranga East,Parkway,60.4975084637,16132.6689236484
Ngauranga East,Greenacres,60.5324851894,16141.9960505137
Ngauranga East,Linden,60.7102246145,16189.3932305236
Ngauranga East,Maupuia,61.5458716215,16412.2324323957
Ngauranga East,Taita South,61.8379963279,16490.1323541051
Ngauranga East,Makara-Ohariu,61.9322778018,16515.2740804764
Ngauranga East,Eastbourne,62.3178988156,16618.1063508353
Ngauranga East,Naenae North,62.5667870951,16684.4765586959
Ngauranga East,Fernlea,64.1424598362,17051.3841613167
Ngauranga East,Takapu,64.8244041854,17286.5077827741
Ngauranga East,Taita North,65.6762376853,17513.6633827549
Ngauranga East,Porirua Central,66.3012134277,17680.3235807266
Ngauranga East,Kelson,69.1513660018,18440.3642671385
Ngauranga East,Homedale East,71.0714988082,18952.3996821817
Ngauranga East,Belmont,71.3282640683,19020.8704182221
Ngauranga East,Arakura,72.6778269176,19380.7538446811
Ngauranga East,Glendale,73.0790689346,19487.7517158875
Ngauranga East,Homedale West,73.7746809773,19673.2482606104
Ngauranga East,Porirua East,75.5507750574,20146.8733486427
