origin (2013 area unit name),destination,distance (meters),time (minutes)
Akatarawa,Heretaunga-Silverstream,14162,60.88333333333333
Akatarawa,Holborn,19591,80.25
Akatarawa,Homebush-Te Ore Ore,,
Akatarawa,Homedale East,35135,110.88333333333334
Akatarawa,Homedale West,39581,108.15
Akatarawa,Horokiwi,58050,189.05
Akatarawa,Hutt Central,28963,87.63333333333334
Akatarawa,Island Bay East,49567,146.21666666666667
Akatarawa,Island Bay West,49547,146.05
Akatarawa,Johnsonville Central,51813,138.81666666666666
Akatarawa,Johnsonville East,40782,125.21666666666667
Akatarawa,Johnsonville North,52330,146.41666666666666
Akatarawa,Kahutara,53485,129.45
Akatarawa,Kaitawa,107118,202.43333333333334
Akatarawa,Kaiwharawhara,41079,109.93333333333334
Akatarawa,Kapiti Island,,
Akatarawa,Karaka Bay-Worser Bay,52303,163.46666666666667
Akatarawa,Karori East,45864,154.4
Akatarawa,Karori North,46382,143.03333333333333
Akatarawa,Karori Park,47929,140.91666666666666
Akatarawa,Karori South,49728,165.01666666666668
Akatarawa,Kelburn,42891,127.1
Akatarawa,Kelson,,
Akatarawa,Khandallah Park-Broadmeadows,53189,171.56666666666666
Akatarawa,Kilbirnie East,48361,128.43333333333334
Akatarawa,Kilbirnie West-Hataitai South,47502,129.4
Akatarawa,Kingston-Mornington,48119,130.68333333333334
Akatarawa,Kopuaranga,,
Akatarawa,Korokoro,32550,115.4
Akatarawa,Lambton,42096,111.58333333333333
Akatarawa,Lansdowne,69500,202.95
Akatarawa,Linden,56205,141.81666666666666
Akatarawa,Lyall Bay-Airport-Moa Point,50352,150.66666666666666
Akatarawa,Maidstone,8867,61.1
Akatarawa,Makara-Ohariu,60611,270.0
Akatarawa,Mana Island,65713,168.33333333333334
Akatarawa,Mana-Camborne,65170,162.91666666666666
Akatarawa,Mangaroa,,
Akatarawa,Mangatainoka,213435,329.7
Akatarawa,Manuka,22738,116.61666666666666
Akatarawa,Maoribank,6223,55.266666666666666
Akatarawa,Mara,,
Akatarawa,Martinborough,52794,135.85
Akatarawa,Masterton Central,68144,184.86666666666667
Akatarawa,Masterton East,264227,382.4
Akatarawa,Masterton Railway,66197,177.06666666666666
Akatarawa,Masterton West,66165,176.71666666666667
Akatarawa,Maungakotukutuku,98865,173.76666666666668
Akatarawa,Maungaraki,34990,122.53333333333333
Akatarawa,Maupuia,53209,174.38333333333333
Akatarawa,Melling,30405,95.55
Akatarawa,Melrose-Houghton Bay-Southgate,49764,159.75
Akatarawa,Miramar,51316,142.25
Akatarawa,Miramar North,51950,156.48333333333332
Akatarawa,Miramar South,50258,132.78333333333333
Akatarawa,Miramar West,50868,144.28333333333333
Akatarawa,Mitchelltown,45931,140.61666666666667
Akatarawa,Moera,27823,93.11666666666666
Akatarawa,Moonshine Valley,18927,83.56666666666666
Akatarawa,Mt Cook-Wallace Street,44471,118.56666666666666
Akatarawa,Mt Holdsworth,,
Akatarawa,Mt Victoria West,44618,127.93333333333334
Akatarawa,Naenae North,26243,87.13333333333334
Akatarawa,Naenae South,29549,92.8
Akatarawa,Newlands East,42758,124.4
Akatarawa,Newlands North,40481,117.93333333333334
Akatarawa,Newlands South,40235,119.08333333333333
Akatarawa,Newtown East,47308,132.65
Akatarawa,Newtown West,46178,127.81666666666666
Akatarawa,Ngaio South,51138,134.83333333333334
Akatarawa,Ngaumutawa,66384,179.85
Akatarawa,Ngauranga East,37117,109.78333333333333
Akatarawa,Ngauranga West,37527,116.58333333333333
Akatarawa,Nireaha-Tiraumea,241524,349.55
Akatarawa,Normandale,33933,124.18333333333334
Akatarawa,Norsewood-Herbertville,,
Akatarawa,Northland,43632,135.16666666666666
Akatarawa,Northland North,49748,155.23333333333332
Akatarawa,Onepoto,69408,193.23333333333332
Akatarawa,Opaki-Fernridge,69945,174.16666666666666
Akatarawa,Oriental Bay,44881,137.03333333333333
Akatarawa,Otaihanga,95682,640.65
Akatarawa,Otaki,109490,190.76666666666668
Akatarawa,Otaki Forks,,
Akatarawa,Owahanga,,
Akatarawa,Paekakariki,81758,172.16666666666666
Akatarawa,Paekakariki Hill,87349,177.56666666666666
Akatarawa,Pahiatua,204857,323.46666666666664
Akatarawa,Papakowhai North,64348,165.6
Akatarawa,Papakowhai South,63453,162.18333333333334
Akatarawa,Paparangi,41335,121.83333333333333
Akatarawa,Paparangi West,48011,133.73333333333332
Akatarawa,Papatawa,199219,310.45
Akatarawa,Paraparaumu Beach North,96152,621.45
Akatarawa,Paraparaumu Beach South,94530,197.56666666666666
Akatarawa,Paraparaumu Central,91989,193.36666666666667
Akatarawa,Paremata-Postgate,64262,167.63333333333333
Akatarawa,Parkway,32774,98.73333333333333
Akatarawa,Pauatahanui,72027,174.48333333333332
Akatarawa,Peka Peka,103504,203.88333333333333
Akatarawa,Pencarrow,40690,109.51666666666667
Akatarawa,Petone Central,32703,98.86666666666666
Akatarawa,Pinehaven,20098,84.61666666666666
Akatarawa,Plimmerton,67322,178.81666666666666
Akatarawa,Poets Block,10934,57.483333333333334
Akatarawa,Porirua Central,58865,164.15
Akatarawa,Porirua East,60587,158.28333333333333
Akatarawa,Pukerua Bay,72556,175.35
Akatarawa,Rangoon Heights,49943,141.83333333333334
Akatarawa,Ranui Heights,60491,166.83333333333334
Akatarawa,Raroa,51100,140.53333333333333
Akatarawa,Raumati Beach,92246,197.01666666666668
Akatarawa,Raumati South,,
Akatarawa,Resolution,70658,197.73333333333332
Akatarawa,Riverstone Terraces,17204,120.66666666666667
Akatarawa,Roseneath,50211,147.36666666666667
Akatarawa,Seatoun,52833,157.91666666666666
Akatarawa,Seatoun Tunnel West,51693,135.93333333333334
Akatarawa,Solway North,65092,177.68333333333334
Akatarawa,Solway South,66698,196.83333333333334
Akatarawa,Strathmore Park,53798,144.86666666666667
Akatarawa,Taita North,20919,69.71666666666667
Akatarawa,Taita South,22206,79.4
