origin area unit,destination area unit,distance (kilometers),time (hours)
Adventure,Tirohanga,42.023,1.925
Adventure,Titahi Bay North,12.35,0.775
Adventure,Titahi Bay South,10.992,0.745
Adventure,Totara Park,58.675,2.05
Adventure,Trentham North,53.584,1.706
Adventure,Trentham South,53.343,1.856
Adventure,Tuturumuri,,
Adventure,Upper Hutt Central,56.084,1.68
Adventure,Vogeltown,29.002,1.702
Adventure,Vogeltown West,29.353,2.053
Adventure,Wadestown,26.508,1.311
Adventure,Waikanae Beach,49.698,8.281
Adventure,Waikanae East,47.429,1.623
Adventure,Waikanae Park,46.999,8.416
Adventure,Waikanae West,47.625,1.594
Adventure,Waingawa,111.16,5.518
Adventure,Waitangirua,0.38,0.074
Adventure,Waiwhetu North,40.052,1.475
Adventure,Waiwhetu South,39.065,1.436
Adventure,Wallaceville,54.77,1.61
Adventure,Waterloo East,39.689,1.388
Adventure,Waterloo West,39.007,1.236
Adventure,Whareama,,
Adventure,Wilford,36.36,1.211
Adventure,Willis Street-Cambridge Terrace,25.38,1.141
Adventure,Wilton,29.356,1.419
Adventure,Woburn North,37.838,1.186
Adventure,Woburn South,38.325,1.294
Adventure,Woodridge,35.643,2.016
Adventure,Woodville,139.23,3.429
Akatarawa,Adelaide,45.717,2.161
Akatarawa,Adventure,64.064,2.839
Akatarawa,Akatarawa,0.0,0.0
Akatarawa,Alicetown,30.289,1.497
Akatarawa,Arakura,35.95,1.711
Akatarawa,Aro Street-Nairn Street,46.249,2.169
Akatarawa,Ascot Park,65.805,2.78
Akatarawa,Avalon East,23.201,1.282
Akatarawa,Avalon West,24.154,1.222
Akatarawa,Awarua,47.69,2.222
Akatarawa,Belmont,,
Akatarawa,Berhampore East,47.812,2.299
Akatarawa,Berhampore West,47.654,2.272
Akatarawa,Boulcott,26.829,1.36
Akatarawa,Brentwood,12.085,0.979
Akatarawa,Brooklyn,46.514,2.255
Akatarawa,Brooklyn South,47.5,2.397
Akatarawa,Cannons Creek East,62.697,2.686
Akatarawa,Cannons Creek North,61.866,2.647
Akatarawa,Cannons Creek South,63.174,2.772
Akatarawa,Carterton,53.625,2.79
Akatarawa,Churton Park North,62.372,3.272
Akatarawa,Churton Park South,53.119,2.603
Akatarawa,Clouston Park,7.129,0.796
Akatarawa,Cloustonville,10.939,0.546
Akatarawa,Crofton Downs,47.437,2.401
Akatarawa,Dannevirke East,216.563,5.621
Akatarawa,Dannevirke West,217.538,5.836
Akatarawa,Delaney,21.531,1.818
Akatarawa,Discovery,67.855,2.854
Akatarawa,Eastbourne,39.304,2.323
Akatarawa,Ebdentown,9.148,0.955
Akatarawa,Eketahuna,229.149,5.631
Akatarawa,Elderslea,10.584,0.965
Akatarawa,Elsdon-Takapuwahia,62.959,3.057
Akatarawa,Emerald Hill,5.181,0.862
Akatarawa,Endeavour,90.086,4.289
Akatarawa,Epuni East,25.438,1.444
Akatarawa,Epuni West,26.707,1.336
Akatarawa,Esplanade,32.153,1.678
Akatarawa,Featherston,33.545,2.3
Akatarawa,Fernlea,33.518,1.854
Akatarawa,Glendale,38.719,1.836
Akatarawa,Glenside North,58.919,2.698
Akatarawa,Gracefield,35.036,1.873
Akatarawa,Greenacres,57.268,2.638
Akatarawa,Grenada North,55.133,2.758
Akatarawa,Grenada Village,55.121,3.002
Akatarawa,Greytown,51.477,2.259
Akatarawa,Happy Valley-Owhiro Bay,50.652,2.545
Akatarawa,Hataitai North,45.61,2.228
Akatarawa,Haywards-Manor Park,19.293,1.567
Akatarawa,Heretaunga,14.138,1.028
Akatarawa,Heretaunga-Silverstream,14.162,1.015
Akatarawa,Holborn,19.591,1.337
Akatarawa,Homebush-Te Ore Ore,,
Akatarawa,Homedale East,35.135,1.848
Akatarawa,Homedale West,39.581,1.802
Akatarawa,Horokiwi,58.05,3.151
Akatarawa,Hutt Central,28.963,1.461
Akatarawa,Island Bay East,49.567,2.437
Akatarawa,Island Bay West,49.547,2.434
Akatarawa,Johnsonville Central,51.813,2.314
Akatarawa,Johnsonville East,40.782,2.087
Akatarawa,Johnsonville North,52.33,2.44
Akatarawa,Kahutara,53.485,2.157
Akatarawa,Kaitawa,107.118,3.374
Akatarawa,Kaiwharawhara,41.079,1.832
Akatarawa,Kapiti Island,,
Akatarawa,Karaka Bay-Worser Bay,52.303,2.724
Akatarawa,Karori East,45.864,2.573
Akatarawa,Karori North,46.382,2.384
Akatarawa,Karori Park,47.929,2.349
Akatarawa,Karori South,49.728,2.75
Akatarawa,Kelburn,42.891,2.118
Akatarawa,Kelson,,
Akatarawa,Khandallah Park-Broadmeadows,53.189,2.859
Akatarawa,Kilbirnie East,48.361,2.141
Akatarawa,Kilbirnie West-Hataitai South,47.502,2.157
Akatarawa,Kingston-Mornington,48.119,2.178
Akatarawa,Kopuaranga,,
Akatarawa,Korokoro,32.55,1.923
Akatarawa,Lambton,42.096,1.86
Akatarawa,Lansdowne,69.5,3.382
Akatarawa,Linden,56.205,2.364
Akatarawa,Lyall Bay-Airport-Moa Point,50.352,2.511
Akatarawa,Maidstone,8.867,1.018
Akatarawa,Makara-Ohariu,60.611,4.5
Akatarawa,Mana Island,65.713,2.806
Akatarawa,Mana-Camborne,65.17,2.715
Akatarawa,Mangaroa,,
Akatarawa,Mangatainoka,213.435,5.495
Akatarawa,Manuka,22.738,1.944
Akatarawa,Maoribank,6.223,0.921
Akatarawa,Mara,,
Akatarawa,Martinborough,52.794,2.264
Akatarawa,Masterton Central,68.144,3.081
Akatarawa,Masterton East,264.227,6.373
Akatarawa,Masterton Railway,66.197,2.951
Akatarawa,Masterton West,66.165,2.945
Akatarawa,Maungakotukutuku,98.865,2.896
Akatarawa,Maungaraki,34.99,2.042
Akatarawa,Maupuia,53.209,2.906
Akatarawa,Melling,30.405,1.593
Akatarawa,Melrose-Houghton Bay-Southgate,49.764,2.663
Akatarawa,Miramar,51.316,2.371
Akatarawa,Miramar North,51.95,2.608
Akatarawa,Miramar South,50.258,2.213
Akatarawa,Miramar West,50.868,2.405
Akatarawa,Mitchelltown,45.931,2.344
Akatarawa,Moera,27.823,1.552
Akatarawa,Moonshine Valley,18.927,1.393
Akatarawa,Mt Cook-Wallace Street,44.471,1.976
Akatarawa,Mt Holdsworth,,
Akatarawa,Mt Victoria West,44.618,2.132
Akatarawa,Naenae North,26.243,1.452
Akatarawa,Naenae South,29.549,1.547
Akatarawa,Newlands East,42.758,2.073
Akatarawa,Newlands North,40.481,1.966
Akatarawa,Newlands South,40.235,1.985
Akatarawa,Newtown East,47.308,2.211
Akatarawa,Newtown West,46.178,2.13
Akatarawa,Ngaio South,51.138,2.247
Akatarawa,Ngaumutawa,66.384,2.998
Akatarawa,Ngauranga East,37.117,1.83
Akatarawa,Ngauranga West,37.527,1.943
Akatarawa,Nireaha-Tiraumea,241.524,5.826
Akatarawa,Normandale,33.933,2.07
Akatarawa,Norsewood-Herbertville,,
Akatarawa,Northland,43.632,2.253
Akatarawa,Northland North,49.748,2.587
Akatarawa,Onepoto,69.408,3.221
Akatarawa,Opaki-Fernridge,69.945,2.903
Akatarawa,Oriental Bay,44.881,2.284
Akatarawa,Otaihanga,95.682,10.678
Akatarawa,Otaki,109.49,3.179
Akatarawa,Otaki Forks,,
Akatarawa,Owahanga,,
Akatarawa,Paekakariki,81.758,2.869
Akatarawa,Paekakariki Hill,87.349,2.959
Akatarawa,Pahiatua,204.857,5.391
Akatarawa,Papakowhai North,64.348,2.76
Akatarawa,Papakowhai South,63.453,2.703
Akatarawa,Paparangi,41.335,2.031
Akatarawa,Paparangi West,48.011,2.229
Akatarawa,Papatawa,199.219,5.174
Akatarawa,Paraparaumu Beach North,96.152,10.357
Akatarawa,Paraparaumu Beach South,94.53,3.293
Akatarawa,Paraparaumu Central,91.989,3.223
Akatarawa,Paremata-Postgate,64.262,2.794
Akatarawa,Parkway,32.774,1.646
Akatarawa,Pauatahanui,72.027,2.908
Akatarawa,Peka Peka,103.504,3.398
Akatarawa,Pencarrow,40.69,1.825
Akatarawa,Petone Central,32.703,1.648
Akatarawa,Pinehaven,20.098,1.41
Akatarawa,Plimmerton,67.322,2.98
Akatarawa,Poets Block,10.934,0.958
Akatarawa,Porirua Central,58.865,2.736
Akatarawa,Porirua East,60.587,2.638
Akatarawa,Pukerua Bay,72.556,2.922
Akatarawa,Rangoon Heights,49.943,2.364
Akatarawa,Ranui Heights,60.491,2.781
Akatarawa,Raroa,51.1,2.342
Akatarawa,Raumati Beach,92.246,3.284
Akatarawa,Raumati South,,
Akatarawa,Resolution,70.658,3.296
Akatarawa,Riverstone Terraces,17.204,2.011
Akatarawa,Roseneath,50.211,2.456
Akatarawa,Seatoun,52.833,2.632
Akatarawa,Seatoun Tunnel West,51.693,2.266
Akatarawa,Solway North,65.092,2.961
Akatarawa,Solway South,66.698,3.281
Akatarawa,Strathmore Park,53.798,2.414
Akatarawa,Taita North,20.919,1.162
Akatarawa,Taita South,22.206,1.323
Akatarawa,Taitville,44.368,2.316
Akatarawa,Takapu,,
Akatarawa,Tawa Central,55.68,2.472
Akatarawa,Tawa South,53.806,2.445
Akatarawa,Tawhai,20.426,1.456
Akatarawa,Te Horo,109.301,3.482
Akatarawa,Te Kainga,48.703,2.255
Akatarawa,Te Marua,11.168,1.204
Akatarawa,Te Wharau,,
Akatarawa,Thorndon-Tinakori Road,41.661,1.757
Akatarawa,Tirohanga,29.728,1.813
Akatarawa,Titahi Bay North,65.373,2.813
Akatarawa,Titahi Bay South,64.462,2.782
Akatarawa,Totara Park,8.51,1.033
Akatarawa,Trentham North,11.268,0.924
Akatarawa,Trentham South,14.652,1.296
Akatarawa,Tuturumuri,,
Akatarawa,Upper Hutt Central,9.078,0.828
Akatarawa,Vogeltown,47.632,2.211
Akatarawa,Vogeltown West,47.178,2.133
Akatarawa,Wadestown,44.333,1.891
Akatarawa,Waikanae Beach,103.138,10.361
Akatarawa,Waikanae East,97.97,3.443
Akatarawa,Waikanae Park,100.439,10.496
Akatarawa,Waikanae West,98.166,3.414
Akatarawa,Waingawa,63.76,4.419
Akatarawa,Waitangirua,63.775,2.777
Akatarawa,Waiwhetu North,26.854,1.555
Akatarawa,Waiwhetu South,27.912,1.6
Akatarawa,Wallaceville,9.874,0.885
Akatarawa,Waterloo East,26.499,1.468
Akatarawa,Waterloo West,25.683,1.316
Akatarawa,Whareama,,
Akatarawa,Wilford,31.427,1.601
Akatarawa,Willis Street-Cambridge Terrace,43.205,1.887
Akatarawa,Wilton,47.181,1.999
Akatarawa,Woburn North,26.845,1.35
Akatarawa,Woburn South,27.331,1.458
Akatarawa,Woodridge,43.782,2.096
Akatarawa,Woodville,191.46,5.093
Alicetown,Adelaide,18.705,0.801
Alicetown,Adventure,37.362,1.522
Alicetown,Akatarawa,30.045,1.668
