TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Epsom,House,3,598.9375
Auckland,Epsom,House,4,798.5714285714
Auckland,Epsom,House,5+,NA
Auckland,Epsom,House,Total,615.5609756098
Auckland,Epsom,Total,1,258.749375
Auckland,Epsom,Total,2,472.8571428571
Auckland,Epsom,Total,3,580.5652173913
Auckland,Epsom,Total,4,796.25
Auckland,Epsom,Total,5+,NA
Auckland,Epsom,Total,Total,473.58384
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,1,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,2,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,3,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,4,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,5+,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Apartment,Total,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,1,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,2,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,3,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,4,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,5+,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Flat,Total,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,House,1,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,House,2,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,House,3,451.1111111111
Auckland,Glen Innes/Pt England/Wai O Taiki,House,4,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,House,5+,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,House,Total,471.4285714286
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,1,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,2,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,3,451.1111111111
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,4,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,5+,NA
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,Total,474.1666666667
Auckland,Grey Lynn/Arch Hill,Apartment,1,362.5
Auckland,Grey Lynn/Arch Hill,Apartment,2,466
Auckland,Grey Lynn/Arch Hill,Apartment,3,NA
Auckland,Grey Lynn/Arch Hill,Apartment,4,NA
Auckland,Grey Lynn/Arch Hill,Apartment,5+,NA
Auckland,Grey Lynn/Arch Hill,Apartment,Total,477.7272727273
Auckland,Grey Lynn/Arch Hill,Flat,1,326.5789473684
Auckland,Grey Lynn/Arch Hill,Flat,2,511.875
Auckland,Grey Lynn/Arch Hill,Flat,3,NA
Auckland,Grey Lynn/Arch Hill,Flat,4,NA
Auckland,Grey Lynn/Arch Hill,Flat,5+,NA
Auckland,Grey Lynn/Arch Hill,Flat,Total,399.0322580645
Auckland,Grey Lynn/Arch Hill,House,1,NA
Auckland,Grey Lynn/Arch Hill,House,2,507.5
Auckland,Grey Lynn/Arch Hill,House,3,680.8823529412
Auckland,Grey Lynn/Arch Hill,House,4,842.5
Auckland,Grey Lynn/Arch Hill,House,5+,NA
Auckland,Grey Lynn/Arch Hill,House,Total,623.8235294118
Auckland,Grey Lynn/Arch Hill,Total,1,322.7631578947
Auckland,Grey Lynn/Arch Hill,Total,2,499.1111111111
Auckland,Grey Lynn/Arch Hill,Total,3,673.2608695652
Auckland,Grey Lynn/Arch Hill,Total,4,842.5
Auckland,Grey Lynn/Arch Hill,Total,5+,NA
Auckland,Grey Lynn/Arch Hill,Total,Total,495.7628865979
Auckland,Harbourside,Apartment,1,433.9230769231
Auckland,Harbourside,Apartment,2,596.4285714286
Auckland,Harbourside,Apartment,3,905.9090909091
Auckland,Harbourside,Apartment,4,NA
Auckland,Harbourside,Apartment,5+,NA
Auckland,Harbourside,Apartment,Total,519.5679012346
Auckland,Harbourside,Flat,1,468.3333333333
Auckland,Harbourside,Flat,2,617.5
Auckland,Harbourside,Flat,3,NA
Auckland,Harbourside,Flat,4,NA
Auckland,Harbourside,Flat,5+,NA
Auckland,Harbourside,Flat,Total,683.3333333333
Auckland,Harbourside,House,1,NA
Auckland,Harbourside,House,2,NA
Auckland,Harbourside,House,3,649.2857142857
Auckland,Harbourside,House,4,NA
Auckland,Harbourside,House,5+,NA
Auckland,Harbourside,House,Total,640.625
Auckland,Harbourside,Total,1,354.1262135922
Auckland,Harbourside,Total,2,598.5416666667
Auckland,Harbourside,Total,3,806.1111111111
Auckland,Harbourside,Total,4,NA
Auckland,Harbourside,Total,5+,NA
Auckland,Harbourside,Total,Total,476.5470852018
Auckland,Herne Bay/St Marys,Apartment,1,404.5
Auckland,Herne Bay/St Marys,Apartment,2,568.3333333333
Auckland,Herne Bay/St Marys,Apartment,3,NA
Auckland,Herne Bay/St Marys,Apartment,4,NA
Auckland,Herne Bay/St Marys,Apartment,5+,NA
Auckland,Herne Bay/St Marys,Apartment,Total,512.8846153846
Auckland,Herne Bay/St Marys,Flat,1,344.0909090909
Auckland,Herne Bay/St Marys,Flat,2,460
Auckland,Herne Bay/St Marys,Flat,3,NA
Auckland,Herne Bay/St Marys,Flat,4,NA
Auckland,Herne Bay/St Marys,Flat,5+,NA
Auckland,Herne Bay/St Marys,Flat,Total,379.4117647059
Auckland,Herne Bay/St Marys,House,1,NA
Auckland,Herne Bay/St Marys,House,2,NA
Auckland,Herne Bay/St Marys,House,3,971.5384615385
Auckland,Herne Bay/St Marys,House,4,NA
Auckland,Herne Bay/St Marys,House,5+,NA
Auckland,Herne Bay/St Marys,House,Total,989.2857142857
Auckland,Herne Bay/St Marys,Total,1,342.3076923077
Auckland,Herne Bay/St Marys,Total,2,546.0526315789
Auckland,Herne Bay/St Marys,Total,3,859.7058823529
