area unit name,number of bedrooms,count,median weekly rent,mean weekly rent
Russell,6+,0,,
Russell,Not Elsewhere Included,0,,
Russell,Total,87,210,220
Paihia,1,36,160,170
Paihia,2,93,220,210
Paihia,3,87,300,420
Paihia,4,21,330,320
Paihia,5,3,,
Paihia,6+,0,,
Paihia,Not Elsewhere Included,0,,
Paihia,Total,240,250,300
Haruru Falls,1,9,180,180
Haruru Falls,2,27,200,170
Haruru Falls,3,48,290,280
Haruru Falls,4,12,290,300
Haruru Falls,5,0,,
Haruru Falls,6+,0,,
Haruru Falls,Not Elsewhere Included,0,,
Haruru Falls,Total,99,240,250
Opua East,1,6,180,180
Opua East,2,6,,
Opua East,3,9,320,300
Opua East,4,3,,
Opua East,5,0,,
Opua East,6+,0,,
Opua East,Not Elsewhere Included,0,,
Opua East,Total,27,250,270
Kawakawa,1,9,100,100
Kawakawa,2,36,150,170
Kawakawa,3,87,210,200
Kawakawa,4,18,150,170
Kawakawa,5,6,,
Kawakawa,6+,0,,
Kawakawa,Not Elsewhere Included,0,,
Kawakawa,Total,156,200,170
Moerewa,1,3,,
Moerewa,2,21,160,160
Moerewa,3,78,200,200
Moerewa,4,18,230,220
Moerewa,5,3,,
Moerewa,6+,0,,
Moerewa,Not Elsewhere Included,0,,
Moerewa,Total,123,200,190
Opua West,1,,,
Opua West,2,,,
Opua West,3,9,280,280
Opua West,4,,,
Opua West,5,,,
Opua West,6+,,,
Opua West,Not Elsewhere Included,,,
Opua West,Total,18,330,320
Bay of Islands,1,,,
Bay of Islands,2,,,
Bay of Islands,3,,,
Bay of Islands,4,,,
Bay of Islands,5,,,
Bay of Islands,6+,,,
Bay of Islands,Not Elsewhere Included,,,
Bay of Islands,Total,,,
Kapiro,1,15,170,170
Kapiro,2,42,250,240
Kapiro,3,81,300,290
Kapiro,4,45,330,320
Kapiro,5,3,,
Kapiro,6+,0,,
Kapiro,Not Elsewhere Included,0,,
Kapiro,Total,189,290,280
Waitangi,1,12,200,200
Waitangi,2,24,200,200
Waitangi,3,27,300,290
Waitangi,4,9,400,400
Waitangi,5,3,,
Waitangi,6+,3,,
Waitangi,Not Elsewhere Included,0,,
Waitangi,Total,75,240,240
Pokere-Waihaha,1,9,100,110
Pokere-Waihaha,2,48,190,160
Pokere-Waihaha,3,72,150,180
Pokere-Waihaha,4,27,230,210
Pokere-Waihaha,5,3,,
Pokere-Waihaha,6+,0,,
Pokere-Waihaha,Not Elsewhere Included,0,,
Pokere-Waihaha,Total,162,180,180
Okaihau,1,6,,
Okaihau,2,15,160,160
Okaihau,3,33,240,220
Okaihau,4,12,160,170
Okaihau,5,0,,
Okaihau,6+,0,,
Okaihau,Not Elsewhere Included,0,,
Okaihau,Total,66,200,190
Ohaeawai,1,0,,
Ohaeawai,2,12,200,170
Ohaeawai,3,24,220,210
Ohaeawai,4,6,,
Ohaeawai,5,6,,
Ohaeawai,6+,0,,
Ohaeawai,Not Elsewhere Included,3,,
Ohaeawai,Total,48,200,200
Waihou Valley-Hupara,1,30,150,150
Waihou Valley-Hupara,2,36,180,180
Waihou Valley-Hupara,3,90,260,260
Waihou Valley-Hupara,4,45,300,550
Waihou Valley-Hupara,5,6,250,250
Waihou Valley-Hupara,6+,0,,
Waihou Valley-Hupara,Not Elsewhere Included,0,,
Waihou Valley-Hupara,Total,210,250,320
Ngapuhi-Kaikou,1,12,120,140
Ngapuhi-Kaikou,2,30,170,160
Ngapuhi-Kaikou,3,75,180,170
Ngapuhi-Kaikou,4,27,210,220
Ngapuhi-Kaikou,5,3,,
Ngapuhi-Kaikou,6+,3,,
Ngapuhi-Kaikou,Not Elsewhere Included,3,,
Ngapuhi-Kaikou,Total,153,180,170
Kaikohe,1,39,110,120
Kaikohe,2,156,150,140
Kaikohe,3,273,200,190
Kaikohe,4,63,230,230
Kaikohe,5,15,250,240
Kaikohe,6+,6,160,160
Kaikohe,Not Elsewhere Included,12,100,110
Kaikohe,Total,564,190,190
Opouteke-Tanekaha,1,9,120,110
Opouteke-Tanekaha,2,33,180,190
Opouteke-Tanekaha,3,108,200,200
Opouteke-Tanekaha,4,48,280,270
Opouteke-Tanekaha,5,15,380,420
Opouteke-Tanekaha,6+,3,,
Opouteke-Tanekaha,Not Elsewhere Included,3,,
Opouteke-Tanekaha,Total,225,200,290
Marsden Point-Ruakaka,1,30,170,160
Marsden Point-Ruakaka,2,60,240,230
Marsden Point-Ruakaka,3,240,280,270
Marsden Point-Ruakaka,4,99,350,480
Marsden Point-Ruakaka,5,15,350,350
Marsden Point-Ruakaka,6+,3,,
Marsden Point-Ruakaka,Not Elsewhere Included,3,,
Marsden Point-Ruakaka,Total,447,290,280
Ngunguru,1,18,180,180
Ngunguru,2,45,230,250
Ngunguru,3,63,300,290
Ngunguru,4,15,400,370
Ngunguru,5,6,360,380
Ngunguru,6+,3,,
Ngunguru,Not Elsewhere Included,0,,
Ngunguru,Total,147,260,270
Wharekohe-Oakleigh,1,30,150,160
Wharekohe-Oakleigh,2,27,210,220
Wharekohe-Oakleigh,3,78,250,240
Wharekohe-Oakleigh,4,45,300,290
Wharekohe-Oakleigh,5,9,200,230
Wharekohe-Oakleigh,6+,0,,
Wharekohe-Oakleigh,Not Elsewhere Included,0,,
Wharekohe-Oakleigh,Total,189,240,230
Maungatapere,1,3,,
Maungatapere,2,15,210,210
Maungatapere,3,36,300,280
Maungatapere,4,15,350,330
Maungatapere,5,3,,
Maungatapere,6+,0,,
Maungatapere,Not Elsewhere Included,3,,
Maungatapere,Total,75,290,270
Waiotira-Springfield,1,9,90,80
Waiotira-Springfield,2,21,200,180
Waiotira-Springfield,3,72,240,220
Waiotira-Springfield,4,30,280,290
Waiotira-Springfield,5,3,,
Waiotira-Springfield,6+,0,,
Waiotira-Springfield,Not Elsewhere Included,3,,
Waiotira-Springfield,Total,135,230,330
Whangaruru Harbour,1,,,
Whangaruru Harbour,2,,,
Whangaruru Harbour,3,,,
Whangaruru Harbour,4,,,
Whangaruru Harbour,5,,,
Whangaruru Harbour,6+,,,
Whangaruru Harbour,Not Elsewhere Included,,,
Whangaruru Harbour,Total,,,
Punaruku-Kiripaka,1,33,180,170
Punaruku-Kiripaka,2,63,180,190
Punaruku-Kiripaka,3,78,250,250
Punaruku-Kiripaka,4,54,300,300
Punaruku-Kiripaka,5,6,130,130
Punaruku-Kiripaka,6+,0,,
Punaruku-Kiripaka,Not Elsewhere Included,3,,
Punaruku-Kiripaka,Total,234,220,230
Bream Bay,1,3,,
Bream Bay,2,12,200,260
Bream Bay,3,21,310,280
Bream Bay,4,9,320,360
Bream Bay,5,3,,
Bream Bay,6+,0,,
Bream Bay,Not Elsewhere Included,0,,
Bream Bay,Total,51,260,250
Waipu,1,30,110,160
Waipu,2,30,250,320
Waipu,3,63,300,260
Waipu,4,27,290,280
Waipu,5,3,,
Waipu,6+,3,,
Waipu,Not Elsewhere Included,0,,
Waipu,Total,162,260,260
Pataua-Whareora,1,3,,
Pataua-Whareora,2,15,210,210
Pataua-Whareora,3,18,250,220
Pataua-Whareora,4,12,330,1250
Pataua-Whareora,5,0,,
Pataua-Whareora,6+,0,,
Pataua-Whareora,Not Elsewhere Included,0,,
Pataua-Whareora,Total,45,250,250
Parua Bay,1,18,200,210
Parua Bay,2,27,240,220
Parua Bay,3,45,310,340
Parua Bay,4,30,350,350
Parua Bay,5,9,420,490
Parua Bay,6+,0,,
Parua Bay,Not Elsewhere Included,0,,
Parua Bay,Total,129,300,300
Bream Head,1,15,150,140
Bream Head,2,33,220,240
Bream Head,3,51,270,260
Bream Head,4,24,300,290
Bream Head,5,6,,
Bream Head,6+,0,,
Bream Head,Not Elsewhere Included,0,,
Bream Head,Total,126,270,250
Springs Flat,1,21,170,170
Springs Flat,2,24,220,210
Springs Flat,3,30,270,240
Springs Flat,4,9,300,330
Springs Flat,5,3,,
Springs Flat,6+,0,,
Springs Flat,Not Elsewhere Included,0,,
Springs Flat,Total,87,210,220
Three Mile Bush,1,0,,
Three Mile Bush,2,3,,
Three Mile Bush,3,15,260,270
Three Mile Bush,4,18,400,400
Three Mile Bush,5,0,,
Three Mile Bush,6+,0,,
Three Mile Bush,Not Elsewhere Included,0,,
Three Mile Bush,Total,36,380,340
Te Hihi,1,6,250,190
Te Hihi,2,9,210,210
Te Hihi,3,12,300,310
Te Hihi,4,9,410,410
Te Hihi,5,6,,
Te Hihi,6+,0,,
Te Hihi,Not Elsewhere Included,0,,
Te Hihi,Total,45,310,320
Abbey Caves,1,,,
Abbey Caves,2,,,
Abbey Caves,3,6,380,380
Abbey Caves,4,,,
Abbey Caves,5,,,
Abbey Caves,6+,,,
Abbey Caves,Not Elsewhere Included,,,
Abbey Caves,Total,18,310,320
Otaika-Portland,1,9,0,0
Otaika-Portland,2,12,190,200
Otaika-Portland,3,21,290,300
Otaika-Portland,4,9,360,360
Otaika-Portland,5,9,370,370
Otaika-Portland,6+,0,,
Otaika-Portland,Not Elsewhere Included,0,,
Otaika-Portland,Total,57,260,270
Kamo West,1,27,150,140
Kamo West,2,78,230,210
Kamo West,3,126,300,290
Kamo West,4,51,350,340
Kamo West,5,15,350,310
Kamo West,6+,3,,
Kamo West,Not Elsewhere Included,0,,
Kamo West,Total,291,300,340
Kamo East,1,15,200,200
Kamo East,2,84,230,200
Kamo East,3,204,280,260
Kamo East,4,90,330,440
Kamo East,5,9,240,260
Kamo East,6+,3,,
Kamo East,Not Elsewhere Included,3,,
Kamo East,Total,408,270,260
Tikipunga West,1,45,90,400
Tikipunga West,2,54,240,210
Tikipunga West,3,237,280,240
Tikipunga West,4,51,300,270
Tikipunga West,5,3,,
Tikipunga West,6+,3,,
Tikipunga West,Not Elsewhere Included,3,,
Tikipunga West,Total,399,250,260
Tikipunga East,1,12,90,100
Tikipunga East,2,60,210,180
Tikipunga East,3,171,280,260
Tikipunga East,4,54,340,330
Tikipunga East,5,6,370,370
Tikipunga East,6+,3,,
Tikipunga East,Not Elsewhere Included,3,,
Tikipunga East,Total,303,270,240
Whau Valley,1,30,120,730
Whau Valley,2,108,190,170
Whau Valley,3,108,300,280
Whau Valley,4,30,340,330
Whau Valley,5,3,,
Whau Valley,6+,3,,
Whau Valley,Not Elsewhere Included,3,,
Whau Valley,Total,285,250,290
Otangarei,1,42,60,80
Otangarei,2,72,190,160
Otangarei,3,147,230,190
Otangarei,4,39,150,160
Otangarei,5,6,,
Otangarei,6+,0,,
Otangarei,Not Elsewhere Included,6,0,0
Otangarei,Total,312,150,170
Western Hills,1,,,
Western Hills,2,,,
Western Hills,3,9,290,290
Western Hills,4,,,
Western Hills,5,,,
Western Hills,6+,,,
Western Hills,Not Elsewhere Included,,,
Western Hills,Total,15,310,310
Kensington,1,27,180,170
Kensington,2,96,240,230
Kensington,3,75,300,490
Kensington,4,12,340,340
Kensington,5,0,,
Kensington,6+,0,,
Kensington,Not Elsewhere Included,0,,
Kensington,Total,213,240,240
Mairtown,1,57,160,140
Mairtown,2,171,220,200
Mairtown,3,123,300,280
Mairtown,4,27,340,320
Mairtown,5,6,380,380
Mairtown,6+,0,,
Mairtown,Not Elsewhere Included,3,,
Mairtown,Total,387,250,230
Regent,1,45,160,160
Regent,2,159,230,230
Regent,3,69,300,270
Regent,4,21,350,320
Regent,5,6,400,400
Regent,6+,3,,
Regent,Not Elsewhere Included,3,,
Regent,Total,303,240,240
Woodhill,1,57,140,140
Woodhill,2,93,220,210
Woodhill,3,93,290,280
Woodhill,4,36,350,690
Woodhill,5,3,,
Woodhill,6+,3,,
Woodhill,Not Elsewhere Included,3,,
Woodhill,Total,279,250,290
Vinetown,1,72,160,150
Vinetown,2,153,230,220
Vinetown,3,111,290,280
Vinetown,4,21,280,250
Vinetown,5,3,,
Vinetown,6+,0,,
Vinetown,Not Elsewhere Included,3,,
Vinetown,Total,366,220,220
Whangarei Central,1,9,210,210
Whangarei Central,2,15,190,190
Whangarei Central,3,3,,
Whangarei Central,4,6,,
Whangarei Central,5,0,,
Whangarei Central,6+,0,,
Whangarei Central,Not Elsewhere Included,0,,
Whangarei Central,Total,30,210,250
Riverside,1,15,170,180
Riverside,2,48,200,180
Riverside,3,36,310,290
Riverside,4,9,250,230
Riverside,5,3,,
Riverside,6+,0,,
Riverside,Not Elsewhere Included,0,,
Riverside,Total,108,200,330
Horahora,1,27,120,140
Horahora,2,36,220,230
Horahora,3,54,300,310
Horahora,4,30,350,330
Horahora,5,0,,
Horahora,6+,0,,
Horahora,Not Elsewhere Included,3,,
Horahora,Total,150,270,250
Maunu,1,3,,
Maunu,2,12,200,190
Maunu,3,48,350,350
Maunu,4,21,350,350
Maunu,5,6,,
Maunu,6+,3,,
Maunu,Not Elsewhere Included,0,,
Maunu,Total,93,350,340
Raumanga East,1,33,180,180
Raumanga East,2,48,180,170
Raumanga East,3,126,270,250
Raumanga East,4,30,290,270
Raumanga East,5,3,,
Raumanga East,6+,0,,
Raumanga East,Not Elsewhere Included,3,,
Raumanga East,Total,246,240,220
Morningside,1,36,160,160
Morningside,2,87,210,190
Morningside,3,138,300,380
Morningside,4,42,310,290
Morningside,5,6,280,280
Morningside,6+,3,,
Morningside,Not Elsewhere Included,0,,
Morningside,Total,315,260,290
Parahaki,1,9,150,160
Parahaki,2,12,240,240
Parahaki,3,60,300,290
Parahaki,4,21,340,280
Parahaki,5,3,,
Parahaki,6+,3,,
Parahaki,Not Elsewhere Included,0,,
Parahaki,Total,111,300,300
Raumanga West,1,15,170,160
Raumanga West,2,60,200,190
Raumanga West,3,237,250,230
Raumanga West,4,54,300,260
Raumanga West,5,9,350,360
Raumanga West,6+,3,,
Raumanga West,Not Elsewhere Included,3,,
Raumanga West,Total,384,250,220
Port-Limeburners,1,,,
Port-Limeburners,2,,,
Port-Limeburners,3,,,
Port-Limeburners,4,,,
Port-Limeburners,5,,,
Port-Limeburners,6+,,,
Port-Limeburners,Not Elsewhere Included,,,
Port-Limeburners,Total,6,,
Sherwood Rise,1,39,170,170
Sherwood Rise,2,87,210,180
Sherwood Rise,3,186,290,270
Sherwood Rise,4,63,300,270
Sherwood Rise,5,9,390,320
Sherwood Rise,6+,0,,
Sherwood Rise,Not Elsewhere Included,6,,
Sherwood Rise,Total,390,260,240
Onerahi,1,9,250,260
Onerahi,2,60,220,190
Onerahi,3,111,280,270
Onerahi,4,33,270,240
Onerahi,5,3,,
Onerahi,6+,3,,
Onerahi,Not Elsewhere Included,3,,
Onerahi,Total,222,250,230
Hikurangi,1,9,90,100
Hikurangi,2,27,210,190
Hikurangi,3,87,260,260
Hikurangi,4,18,250,250
Hikurangi,5,3,,
Hikurangi,6+,3,,
Hikurangi,Not Elsewhere Included,0,,
Hikurangi,Total,147,250,250
Te Kopuru,1,3,,
Te Kopuru,2,12,150,150
Te Kopuru,3,18,210,210
Te Kopuru,4,9,160,140
Te Kopuru,5,3,,
Te Kopuru,6+,0,,
Te Kopuru,Not Elsewhere Included,3,,
Te Kopuru,Total,45,180,190
Kaipara Coastal,1,18,130,140
Kaipara Coastal,2,33,190,160
Kaipara Coastal,3,120,170,170
Kaipara Coastal,4,42,160,170
Kaipara Coastal,5,9,120,120
Kaipara Coastal,6+,0,,
Kaipara Coastal,Not Elsewhere Included,0,,
Kaipara Coastal,Total,219,170,170
Maungaru,1,3,,
Maungaru,2,24,130,120
Maungaru,3,48,180,190
Maungaru,4,30,180,170
Maungaru,5,6,210,210
Maungaru,6+,0,,
Maungaru,Not Elsewhere Included,0,,
Maungaru,Total,111,150,160
Dargaville,1,54,130,140
Dargaville,2,141,180,170
Dargaville,3,267,210,200
Dargaville,4,63,220,430
Dargaville,5,12,260,250
Dargaville,6+,3,,
Dargaville,Not Elsewhere Included,3,,
Dargaville,Total,543,200,180
Maungaturoto,1,15,110,110
Maungaturoto,2,12,180,160
Maungaturoto,3,24,220,210
Maungaturoto,4,15,250,220
Maungaturoto,5,3,,
Maungaturoto,6+,3,,
Maungaturoto,Not Elsewhere Included,0,,
Maungaturoto,Total,72,200,190
Ruawai,1,9,100,100
Ruawai,2,6,160,160
Ruawai,3,27,160,160
Ruawai,4,6,100,100
Ruawai,5,0,,
Ruawai,6+,0,,
Ruawai,Not Elsewhere Included,0,,
Ruawai,Total,51,150,160
Kaiwaka,1,6,150,140
Kaiwaka,2,12,150,150
Kaiwaka,3,30,260,260
Kaiwaka,4,9,220,220
Kaiwaka,5,0,,
Kaiwaka,6+,3,,
Kaiwaka,Not Elsewhere Included,0,,
Kaiwaka,Total,60,220,240
Rehia-Oneriri,1,36,110,130
Rehia-Oneriri,2,72,200,190
Rehia-Oneriri,3,156,180,180
Rehia-Oneriri,4,72,230,240
Rehia-Oneriri,5,24,240,260
Rehia-Oneriri,6+,6,230,240
Rehia-Oneriri,Not Elsewhere Included,3,,
Rehia-Oneriri,Total,366,180,180
Mangawhai,1,6,,
Mangawhai,2,24,240,220
Mangawhai,3,60,300,280
Mangawhai,4,12,330,330
Mangawhai,5,3,,
Mangawhai,6+,0,,
Mangawhai,Not Elsewhere Included,0,,
Mangawhai,Total,99,280,270
Mangawhai Heads,1,36,110,130
Mangawhai Heads,2,36,220,200
Mangawhai Heads,3,57,260,250
Mangawhai Heads,4,15,360,330
Mangawhai Heads,5,3,,
Mangawhai Heads,6+,0,,
Mangawhai Heads,Not Elsewhere Included,0,,
Mangawhai Heads,Total,147,250,220
Wellsford,1,12,170,170
Wellsford,2,45,230,220
Wellsford,3,102,280,260
Wellsford,4,30,300,270
Wellsford,5,9,340,340
Wellsford,6+,3,,
Wellsford,Not Elsewhere Included,3,,
Wellsford,Total,204,260,250
Leigh,1,3,,
Leigh,2,12,260,250
Leigh,3,15,310,330
Leigh,4,6,,
Leigh,5,0,,
Leigh,6+,0,,
Leigh,Not Elsewhere Included,0,,
Leigh,Total,36,300,330
Warkworth,1,30,210,190
Warkworth,2,111,300,270
Warkworth,3,192,360,350
Warkworth,4,57,420,400
Warkworth,5,21,400,380
Warkworth,6+,3,,
Warkworth,Not Elsewhere Included,3,,
Warkworth,Total,417,350,370
Waimauku,1,6,,
Waimauku,2,9,300,300
Waimauku,3,18,430,460
Waimauku,4,12,550,500
Waimauku,5,0,,
Waimauku,6+,0,,
Waimauku,Not Elsewhere Included,0,,
Waimauku,Total,45,430,410
Huapai,1,15,200,180
Huapai,2,33,320,320
Huapai,3,51,410,670
Huapai,4,15,500,510
Huapai,5,6,,
Huapai,6+,0,,
Huapai,Not Elsewhere Included,0,,
Huapai,Total,120,350,360
Riverhead Urban,1,3,,
Riverhead Urban,2,12,200,200
Riverhead Urban,3,42,440,430
Riverhead Urban,4,15,430,440
Riverhead Urban,5,3,,
Riverhead Urban,6+,0,,
Riverhead Urban,Not Elsewhere Included,0,,
Riverhead Urban,Total,78,410,410
Kumeu East,1,15,240,220
Kumeu East,2,36,330,320
Kumeu East,3,24,380,380
Kumeu East,4,12,300,300
Kumeu East,5,9,750,650
Kumeu East,6+,0,,
Kumeu East,Not Elsewhere Included,0,,
Kumeu East,Total,93,320,360
Kumeu West,1,30,250,260
Kumeu West,2,45,340,340
Kumeu West,3,39,350,320
Kumeu West,4,21,530,490
Kumeu West,5,9,2180,2850
Kumeu West,6+,6,620,620
Kumeu West,Not Elsewhere Included,0,,
Kumeu West,Total,150,350,460
Waipareira West,1,12,190,190
Waipareira West,2,24,220,210
Waipareira West,3,18,340,330
Waipareira West,4,15,430,430
Waipareira West,5,0,,
Waipareira West,6+,0,,
Waipareira West,Not Elsewhere Included,0,,
Waipareira West,Total,66,300,570
Waiwera,1,24,200,210
Waiwera,2,21,330,330
Waiwera,3,12,460,460
Waiwera,4,3,,
Waiwera,5,0,,
Waiwera,6+,0,,
Waiwera,Not Elsewhere Included,0,,
Waiwera,Total,60,230,470
Hatfields Beach,1,6,270,260
Hatfields Beach,2,21,280,310
Hatfields Beach,3,57,400,390
Hatfields Beach,4,18,420,420
Hatfields Beach,5,6,,
Hatfields Beach,6+,0,,
Hatfields Beach,Not Elsewhere Included,0,,
Hatfields Beach,Total,111,400,520
Orewa,1,120,270,260
Orewa,2,363,350,320
Orewa,3,312,420,430
Orewa,4,87,500,670
Orewa,5,18,570,590
Orewa,6+,3,,
Orewa,Not Elsewhere Included,12,400,400
Orewa,Total,912,380,390
Silverdale Central,1,0,,
Silverdale Central,2,3,,
Silverdale Central,3,24,460,390
Silverdale Central,4,36,590,610
Silverdale Central,5,6,2110,2780
Silverdale Central,6+,0,,
Silverdale Central,Not Elsewhere Included,0,,
Silverdale Central,Total,72,580,570
Red Beach West,1,24,240,240
Red Beach West,2,93,300,250
Red Beach West,3,78,400,390
Red Beach West,4,27,530,530
Red Beach West,5,6,,
Red Beach West,6+,3,,
Red Beach West,Not Elsewhere Included,0,,
Red Beach West,Total,228,340,340
Red Beach East,1,27,250,260
Red Beach East,2,87,320,310
Red Beach East,3,141,430,430
Red Beach East,4,36,490,500
Red Beach East,5,9,630,1470
Red Beach East,6+,3,,
Red Beach East,Not Elsewhere Included,0,,
Red Beach East,Total,300,380,390
Manly,1,48,230,230
Manly,2,189,320,310
Manly,3,231,400,400
Manly,4,90,480,490
Manly,5,21,500,500
Manly,6+,3,,
Manly,Not Elsewhere Included,0,,
Manly,Total,585,370,370
Army Bay,1,15,220,220
Army Bay,2,48,320,320
Army Bay,3,129,400,400
Army Bay,4,132,460,460
Army Bay,5,15,550,490
Army Bay,6+,6,,
Army Bay,Not Elsewhere Included,0,,
Army Bay,Total,342,420,420
Vipond,1,21,210,190
Vipond,2,54,250,240
Vipond,3,96,390,390
Vipond,4,30,450,430
Vipond,5,6,,
Vipond,6+,0,,
Vipond,Not Elsewhere Included,0,,
Vipond,Total,210,360,340
Stanmore Bay West,1,27,230,250
Stanmore Bay West,2,57,330,330
Stanmore Bay West,3,141,400,400
Stanmore Bay West,4,36,480,480
Stanmore Bay West,5,3,,
Stanmore Bay West,6+,6,,
Stanmore Bay West,Not Elsewhere Included,0,,
Stanmore Bay West,Total,270,380,380
Stanmore Bay East,1,27,260,250
Stanmore Bay East,2,60,320,300
Stanmore Bay East,3,159,380,390
Stanmore Bay East,4,24,460,460
Stanmore Bay East,5,6,510,510
Stanmore Bay East,6+,3,,
Stanmore Bay East,Not Elsewhere Included,0,,
Stanmore Bay East,Total,279,370,360
Wade Heads,1,30,230,240
Wade Heads,2,60,300,570
Wade Heads,3,96,400,400
Wade Heads,4,48,500,490
Wade Heads,5,12,470,430
Wade Heads,6+,0,,
Wade Heads,Not Elsewhere Included,3,,
Wade Heads,Total,249,380,380
Gulf Harbour,1,15,290,280
Gulf Harbour,2,42,300,340
Gulf Harbour,3,159,370,380
Gulf Harbour,4,54,490,500
Gulf Harbour,5,6,520,520
Gulf Harbour,6+,3,,
Gulf Harbour,Not Elsewhere Included,0,,
Gulf Harbour,Total,282,380,400
