area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
560421,Halcombe,Total,24,230,220
560422,Tokorangi-Hiwinui,1,9,80,80
560422,Tokorangi-Hiwinui,2,9,130,170
560422,Tokorangi-Hiwinui,3,48,190,170
560422,Tokorangi-Hiwinui,4,39,250,670
560422,Tokorangi-Hiwinui,5,9,330,330
560422,Tokorangi-Hiwinui,6+,6,,
560422,Tokorangi-Hiwinui,Not Elsewhere Included,0,,
560422,Tokorangi-Hiwinui,Total,120,200,190
560710,Feilding North,1,6,170,170
560710,Feilding North,2,51,200,190
560710,Feilding North,3,264,250,240
560710,Feilding North,4,69,300,260
560710,Feilding North,5,12,330,320
560710,Feilding North,6+,3,,
560710,Feilding North,Not Elsewhere Included,3,,
560710,Feilding North,Total,408,250,230
560720,Feilding West,1,102,120,120
560720,Feilding West,2,114,190,190
560720,Feilding West,3,135,260,250
560720,Feilding West,4,51,280,270
560720,Feilding West,5,9,260,260
560720,Feilding West,6+,3,,
560720,Feilding West,Not Elsewhere Included,6,,
560720,Feilding West,Total,420,230,250
560730,Feildinentral,1,96,120,120
560730,Feildinentral,2,141,180,170
560730,Feildinentral,3,129,250,250
560730,Feildinentral,4,33,270,260
560730,Feildinentral,5,6,270,240
560730,Feildinentral,6+,3,,
560730,Feildinentral,Not Elsewhere Included,6,,
560730,Feildinentral,Total,411,200,200
560740,Feilding East,1,18,120,110
560740,Feilding East,2,78,200,200
560740,Feilding East,3,117,250,240
560740,Feilding East,4,27,270,250
560740,Feilding East,5,9,310,320
560740,Feilding East,6+,0,,
560740,Feilding East,Not Elsewhere Included,3,,
560740,Feilding East,Total,252,240,220
560900,Sanson,1,6,,
560900,Sanson,2,15,160,160
560900,Sanson,3,24,240,230
560900,Sanson,4,6,,
560900,Sanson,5,3,,
560900,Sanson,6+,0,,
560900,Sanson,Not Elsewhere Included,0,,
560900,Sanson,Total,48,200,190
561000,Rongotea,1,3,,
561000,Rongotea,2,3,,
561000,Rongotea,3,30,250,250
561000,Rongotea,4,12,220,220
561000,Rongotea,5,0,,
561000,Rongotea,6+,0,,
561000,Rongotea,Not Elsewhere Included,3,,
561000,Rongotea,Total,48,230,230
561100,Tangimoana,1,3,,
561100,Tangimoana,2,9,130,130
561100,Tangimoana,3,12,170,150
561100,Tangimoana,4,0,,
561100,Tangimoana,5,0,,
561100,Tangimoana,6+,0,,
561100,Tangimoana,Not Elsewhere Included,0,,
561100,Tangimoana,Total,27,130,130
561200,Himatangi Beach,1,3,,
561200,Himatangi Beach,2,18,150,160
561200,Himatangi Beach,3,21,180,180
561200,Himatangi Beach,4,3,,
561200,Himatangi Beach,5,0,,
561200,Himatangi Beach,6+,0,,
561200,Himatangi Beach,Not Elsewhere Included,0,,
561200,Himatangi Beach,Total,48,180,180
561300,Foxton Beach,1,6,120,120
561300,Foxton Beach,2,78,150,150
561300,Foxton Beach,3,78,180,180
561300,Foxton Beach,4,24,210,180
561300,Foxton Beach,5,0,,
561300,Foxton Beach,6+,0,,
561300,Foxton Beach,Not Elsewhere Included,0,,
561300,Foxton Beach,Total,189,170,170
561410,Rakiraki,1,0,,
561410,Rakiraki,2,3,,
561410,Rakiraki,3,9,230,190
561410,Rakiraki,4,6,300,300
561410,Rakiraki,5,3,,
561410,Rakiraki,6+,0,,
561410,Rakiraki,Not Elsewhere Included,3,,
561410,Rakiraki,Total,21,270,940
561421,Ohakea,1,0,,
561421,Ohakea,2,9,160,160
561421,Ohakea,3,30,180,170
561421,Ohakea,4,6,190,190
561421,Ohakea,5,0,,
561421,Ohakea,6+,0,,
561421,Ohakea,Not Elsewhere Included,0,,
561421,Ohakea,Total,45,180,180
561422,Oroua Downs-Waitohi,1,6,140,140
561422,Oroua Downs-Waitohi,2,27,130,140
561422,Oroua Downs-Waitohi,3,126,150,160
561422,Oroua Downs-Waitohi,4,51,170,190
561422,Oroua Downs-Waitohi,5,12,140,160
561422,Oroua Downs-Waitohi,6+,3,,
561422,Oroua Downs-Waitohi,Not Elsewhere Included,3,,
561422,Oroua Downs-Waitohi,Total,222,150,160
561500,Moutoa,1,6,140,120
561500,Moutoa,2,6,180,1730
561500,Moutoa,3,36,160,160
561500,Moutoa,4,15,110,140
561500,Moutoa,5,6,240,230
561500,Moutoa,6+,0,,
561500,Moutoa,Not Elsewhere Included,0,,
561500,Moutoa,Total,72,150,160
561700,Foxton,1,54,130,130
561700,Foxton,2,99,160,150
561700,Foxton,3,150,180,170
561700,Foxton,4,33,210,210
561700,Foxton,5,9,250,250
561700,Foxton,6+,0,,
561700,Foxton,Not Elsewhere Included,6,,
561700,Foxton,Total,348,170,170
561811,Kairanga,1,3,,
561811,Kairanga,2,6,240,200
561811,Kairanga,3,21,250,270
561811,Kairanga,4,6,,
561811,Kairanga,5,6,,
561811,Kairanga,6+,0,,
561811,Kairanga,Not Elsewhere Included,0,,
561811,Kairanga,Total,45,250,530
561812,Longburn,1,6,,
561812,Longburn,2,9,150,150
561812,Longburn,3,36,250,230
561812,Longburn,4,9,260,260
561812,Longburn,5,3,,
561812,Longburn,6+,0,,
561812,Longburn,Not Elsewhere Included,0,,
561812,Longburn,Total,63,230,230
561813,Massey University,1,3,,
561813,Massey University,2,3,,
561813,Massey University,3,15,230,200
561813,Massey University,4,3,,
561813,Massey University,5,3,,
561813,Massey University,6+,0,,
561813,Massey University,Not Elsewhere Included,0,,
561813,Massey University,Total,24,250,240
561820,Linton Militaramp,1,0,,
561820,Linton Militaramp,2,9,180,180
561820,Linton Militaramp,3,162,210,210
561820,Linton Militaramp,4,48,230,230
561820,Linton Militaramp,5,3,,
561820,Linton Militaramp,6+,0,,
561820,Linton Militaramp,Not Elsewhere Included,0,,
561820,Linton Militaramp,Total,222,210,210
561901,Kauwhata,1,18,80,90
561901,Kauwhata,2,15,200,190
561901,Kauwhata,3,36,250,230
561901,Kauwhata,4,27,270,1030
561901,Kauwhata,5,9,190,190
561901,Kauwhata,6+,0,,
561901,Kauwhata,Not Elsewhere Included,0,,
561901,Kauwhata,Total,102,200,210
561902,Turitea,1,6,,
561902,Turitea,2,12,230,230
561902,Turitea,3,45,220,220
561902,Turitea,4,18,110,160
561902,Turitea,5,3,,
561902,Turitea,6+,3,,
561902,Turitea,Not Elsewhere Included,0,,
561902,Turitea,Total,84,240,250
562100,Milson,1,15,140,140
562100,Milson,2,111,210,200
562100,Milson,3,258,280,270
562100,Milson,4,96,300,300
562100,Milson,5,15,360,390
562100,Milson,6+,6,420,420
562100,Milson,Not Elsewhere Included,0,,
562100,Milson,Total,501,270,290
562200,Kelvin Grove,1,12,200,200
562200,Kelvin Grove,2,54,210,180
562200,Kelvin Grove,3,261,280,280
562200,Kelvin Grove,4,123,390,360
562200,Kelvin Grove,5,9,320,340
562200,Kelvin Grove,6+,3,,
562200,Kelvin Grove,Not Elsewhere Included,0,,
562200,Kelvin Grove,Total,462,290,330
562310,Takaro,1,114,130,140
562310,Takaro,2,237,200,200
562310,Takaro,3,291,270,260
562310,Takaro,4,114,310,310
562310,Takaro,5,21,370,420
562310,Takaro,6+,6,,
562310,Takaro,Not Elsewhere Included,6,,
562310,Takaro,Total,789,240,230
56232loverlea,1,9,160,160
56232loverlea,2,45,210,180
56232loverlea,3,117,270,260
56232loverlea,4,30,280,270
56232loverlea,5,6,,
56232loverlea,6+,0,,
56232loverlea,Not Elsewhere Included,0,,
56232loverlea,Total,207,260,250
562401,Palmerston North Hospital,1,60,150,140
562401,Palmerston North Hospital,2,141,200,210
562401,Palmerston North Hospital,3,126,300,290
562401,Palmerston North Hospital,4,48,320,300
562401,Palmerston North Hospital,5,12,550,550
562401,Palmerston North Hospital,6+,3,,
562401,Palmerston North Hospital,Not Elsewhere Included,0,,
562401,Palmerston North Hospital,Total,390,250,250
562402,Papaeoia,1,141,140,140
562402,Papaeoia,2,318,200,200
562402,Papaeoia,3,90,290,290
562402,Papaeoia,4,45,320,310
562402,Papaeoia,5,21,400,390
562402,Papaeoia,6+,6,,
562402,Papaeoia,Not Elsewhere Included,3,,
562402,Papaeoia,Total,621,200,210
562500,Roslyn,1,99,80,110
562500,Roslyn,2,351,190,180
562500,Roslyn,3,366,260,240
562500,Roslyn,4,90,280,270
562500,Roslyn,5,21,360,370
562500,Roslyn,6+,9,220,220
562500,Roslyn,Not Elsewhere Included,3,,
562500,Roslyn,Total,939,230,230
562600,Terrace End,1,45,120,120
562600,Terrace End,2,129,210,200
562600,Terrace End,3,144,270,270
562600,Terrace End,4,54,320,300
562600,Terrace End,5,18,360,350
562600,Terrace End,6+,6,410,410
562600,Terrace End,Not Elsewhere Included,3,,
562600,Terrace End,Total,399,250,280
562710,Highbury,1,39,70,110
562710,Highbury,2,129,110,140
562710,Highbury,3,225,240,220
562710,Highbury,4,51,280,250
562710,Highbury,5,12,260,260
562710,Highbury,6+,3,,
562710,Highbury,Not Elsewhere Included,6,130,130
562710,Highbury,Total,459,200,180
562720,Westbrook,1,15,150,120
562720,Westbrook,2,117,100,130
562720,Westbrook,3,240,250,220
562720,Westbrook,4,57,300,290
562720,Westbrook,5,6,400,320
562720,Westbrook,6+,6,,
562720,Westbrook,Not Elsewhere Included,0,,
562720,Westbrook,Total,444,230,200
562800,Palmerston Nortentral,1,105,160,170
562800,Palmerston Nortentral,2,261,200,200
562800,Palmerston Nortentral,3,111,260,270
562800,Palmerston Nortentral,4,96,300,310
562800,Palmerston Nortentral,5,51,370,360
562800,Palmerston Nortentral,6+,18,590,2000
562800,Palmerston Nortentral,Not Elsewhere Included,3,,
562800,Palmerston Nortentral,Total,645,220,240
562910,Awapuni North,1,54,100,410
562910,Awapuni North,2,90,220,210
562910,Awapuni North,3,264,260,230
562910,Awapuni North,4,75,280,250
562910,Awapuni North,5,9,290,290
562910,Awapuni North,6+,3,,
562910,Awapuni North,Not Elsewhere Included,6,,
562910,Awapuni North,Total,498,240,250
562921,Awapuni West,1,3,,
562921,Awapuni West,2,9,210,210
562921,Awapuni West,3,48,260,270
562921,Awapuni West,4,27,320,320
562921,Awapuni West,5,3,,
562921,Awapuni West,6+,0,,
562921,Awapuni West,Not Elsewhere Included,0,,
562921,Awapuni West,Total,90,290,290
562922,Awapuni South,1,6,200,210
562922,Awapuni South,2,54,230,230
562922,Awapuni South,3,123,290,280
562922,Awapuni South,4,48,300,310
562922,Awapuni South,5,12,330,330
562922,Awapuni South,6+,3,,
562922,Awapuni South,Not Elsewhere Included,0,,
562922,Awapuni South,Total,252,290,290
563000,West End,1,171,130,120
563000,West End,2,348,220,210
563000,West End,3,180,280,270
563000,West End,4,135,310,310
563000,West End,5,45,410,410
563000,West End,6+,27,550,490
563000,West End,Not Elsewhere Included,9,80,220
563000,West End,Total,912,250,260
