area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
500100,Awanui,1,12,110,120
500100,Awanui,2,6,200,200
500100,Awanui,3,18,190,180
500100,Awanui,4,3,,
500100,Awanui,5,3,,
500100,Awanui,6+,0,,
500100,Awanui,Not Elsewhere Included,0,,
500100,Awanui,Total,42,150,470
500202,Karikari Peninsula-Maungataniwha,1,24,140,120
500202,Karikari Peninsula-Maungataniwha,2,63,180,170
500202,Karikari Peninsula-Maungataniwha,3,114,190,190
500202,Karikari Peninsula-Maungataniwha,4,60,250,240
500202,Karikari Peninsula-Maungataniwha,5,9,250,250
500202,Karikari Peninsula-Maungataniwha,6+,3,,
500202,Karikari Peninsula-Maungataniwha,Not Elsewhere Included,3,,
500202,Karikari Peninsula-Maungataniwha,Total,276,200,190
500203,Taipa Bay-Mangonui,1,24,150,150
500203,Taipa Bay-Mangonui,2,66,200,220
500203,Taipa Bay-Mangonui,3,108,250,240
500203,Taipa Bay-Mangonui,4,24,300,290
500203,Taipa Bay-Mangonui,5,6,290,290
500203,Taipa Bay-Mangonui,6+,3,,
500203,Taipa Bay-Mangonui,Not Elsewhere Included,0,,
500203,Taipa Bay-Mangonui,Total,234,220,220
500204,Herekino,1,12,180,340
500204,Herekino,2,33,150,150
500204,Herekino,3,57,200,200
500204,Herekino,4,21,220,210
500204,Herekino,5,6,130,130
500204,Herekino,6+,0,,
500204,Herekino,Not Elsewhere Included,3,,
500204,Herekino,Total,132,180,190
500205,Ahipara,1,12,130,130
500205,Ahipara,2,30,180,170
500205,Ahipara,3,42,250,230
500205,Ahipara,4,15,300,290
500205,Ahipara,5,6,,
500205,Ahipara,6+,0,,
500205,Ahipara,Not Elsewhere Included,0,,
500205,Ahipara,Total,105,220,220
500206,Nortape,1,3,,
500206,Nortape,2,6,0,0
500206,Nortape,3,27,110,110
500206,Nortape,4,9,500,500
500206,Nortape,5,0,,
500206,Nortape,6+,0,,
500206,Nortape,Not Elsewhere Included,0,,
500206,Nortape,Total,45,100,100
500207,Houhora,1,9,90,90
500207,Houhora,2,15,160,170
500207,Houhora,3,42,200,190
500207,Houhora,4,18,230,230
500207,Houhora,5,3,,
500207,Houhora,6+,0,,
500207,Houhora,Not Elsewhere Included,0,,
500207,Houhora,Total,90,180,180
500208,Motutangi-Kareponia,1,9,100,100
500208,Motutangi-Kareponia,2,21,180,170
500208,Motutangi-Kareponia,3,60,190,180
500208,Motutangi-Kareponia,4,21,210,200
500208,Motutangi-Kareponia,5,6,,
500208,Motutangi-Kareponia,6+,0,,
500208,Motutangi-Kareponia,Not Elsewhere Included,0,,
500208,Motutangi-Kareponia,Total,117,200,180
500301,Kaitaia West,1,60,110,130
500301,Kaitaia West,2,138,180,160
500301,Kaitaia West,3,195,220,200
500301,Kaitaia West,4,60,240,470
500301,Kaitaia West,5,9,230,200
500301,Kaitaia West,6+,3,,
500301,Kaitaia West,Not Elsewhere Included,0,,
500301,Kaitaia West,Total,462,200,210
500302,Kaitaia East,1,12,110,90
500302,Kaitaia East,2,51,180,160
500302,Kaitaia East,3,138,230,200
500302,Kaitaia East,4,27,250,240
500302,Kaitaia East,5,6,,
500302,Kaitaia East,6+,0,,
500302,Kaitaia East,Not Elsewhere Included,0,,
500302,Kaitaia East,Total,234,210,190
500401,Kaeo,1,9,300,300
500401,Kaeo,2,12,190,180
500401,Kaeo,3,30,100,100
500401,Kaeo,4,6,,
500401,Kaeo,5,3,,
500401,Kaeo,6+,0,,
500401,Kaeo,Not Elsewhere Included,0,,
500401,Kaeo,Total,54,180,190
500402,Mangapa-Matauri Bay,1,15,120,120
500402,Mangapa-Matauri Bay,2,51,160,160
500402,Mangapa-Matauri Bay,3,69,180,180
500402,Mangapa-Matauri Bay,4,33,220,210
500402,Mangapa-Matauri Bay,5,6,130,140
500402,Mangapa-Matauri Bay,6+,3,,
500402,Mangapa-Matauri Bay,Not Elsewhere Included,0,,
500402,Mangapa-Matauri Bay,Total,174,180,180
500500,Kohukohu,1,6,110,110
500500,Kohukohu,2,,,
500500,Kohukohu,3,6,140,140
500500,Kohukohu,4,,,
500500,Kohukohu,5,,,
500500,Kohukohu,6+,,,
500500,Kohukohu,Not Elsewhere Included,,,
500500,Kohukohu,Total,18,110,110
500600,Rawene,1,12,130,120
500600,Rawene,2,15,210,200
500600,Rawene,3,33,190,170
500600,Rawene,4,6,,
500600,Rawene,5,3,,
500600,Rawene,6+,0,,
500600,Rawene,Not Elsewhere Included,0,,
500600,Rawene,Total,69,150,160
500700,Omapere and Opononi,1,12,150,140
500700,Omapere and Opononi,2,24,170,160
500700,Omapere and Opononi,3,27,200,240
500700,Omapere and Opononi,4,3,,
500700,Omapere and Opononi,5,3,,
500700,Omapere and Opononi,6+,3,,
500700,Omapere and Opononi,Not Elsewhere Included,0,,
500700,Omapere and Opononi,Total,66,170,160
500801,Hokianga North,1,9,100,130
500801,Hokianga North,2,27,100,120
500801,Hokianga North,3,60,130,130
500801,Hokianga North,4,21,110,130
500801,Hokianga North,5,6,,
500801,Hokianga North,6+,3,,
500801,Hokianga North,Not Elsewhere Included,0,,
500801,Hokianga North,Total,126,130,140
500802,Hokianga South,1,21,150,190
500802,Hokianga South,2,36,130,150
500802,Hokianga South,3,75,150,160
500802,Hokianga South,4,18,130,140
500802,Hokianga South,5,6,,
500802,Hokianga South,6+,0,,
500802,Hokianga South,Not Elsewhere Included,3,,
500802,Hokianga South,Total,159,150,170
500900,Kerikeri,1,75,180,170
500900,Kerikeri,2,171,250,230
500900,Kerikeri,3,339,300,340
500900,Kerikeri,4,126,350,340
500900,Kerikeri,5,27,380,390
500900,Kerikeri,6+,3,,
500900,Kerikeri,Not Elsewhere Included,0,,
500900,Kerikeri,Total,741,300,310
501000,Russell,1,12,190,180
501000,Russell,2,27,200,200
501000,Russell,3,30,250,250
501000,Russell,4,9,300,320
501000,Russell,5,3,,
501000,Russell,6+,0,,
501000,Russell,Not Elsewhere Included,0,,
501000,Russell,Total,87,210,220
501100,Paihia,1,36,160,170
501100,Paihia,2,93,220,210
501100,Paihia,3,87,300,420
501100,Paihia,4,21,330,320
501100,Paihia,5,3,,
501100,Paihia,6+,0,,
501100,Paihia,Not Elsewhere Included,0,,
501100,Paihia,Total,240,250,300
501200,Haruru Falls,1,9,180,180
501200,Haruru Falls,2,27,200,170
501200,Haruru Falls,3,48,290,280
501200,Haruru Falls,4,12,290,300
501200,Haruru Falls,5,0,,
501200,Haruru Falls,6+,0,,
501200,Haruru Falls,Not Elsewhere Included,0,,
501200,Haruru Falls,Total,99,240,250
501300,Opua East,1,6,180,180
501300,Opua East,2,6,,
501300,Opua East,3,9,320,300
501300,Opua East,4,3,,
501300,Opua East,5,0,,
501300,Opua East,6+,0,,
501300,Opua East,Not Elsewhere Included,0,,
501300,Opua East,Total,27,250,270
501400,Kawakawa,1,9,100,100
501400,Kawakawa,2,36,150,170
501400,Kawakawa,3,87,210,200
501400,Kawakawa,4,18,150,170
501400,Kawakawa,5,6,,
501400,Kawakawa,6+,0,,
501400,Kawakawa,Not Elsewhere Included,0,,
501400,Kawakawa,Total,156,200,170
501500,Moerewa,1,3,,
501500,Moerewa,2,21,160,160
501500,Moerewa,3,78,200,200
501500,Moerewa,4,18,230,220
501500,Moerewa,5,3,,
501500,Moerewa,6+,0,,
501500,Moerewa,Not Elsewhere Included,0,,
501500,Moerewa,Total,123,200,190
501612,Opua West,1,,,
501612,Opua West,2,,,
501612,Opua West,3,9,280,280
501612,Opua West,4,,,
501612,Opua West,5,,,
501612,Opua West,6+,,,
501612,Opua West,Not Elsewhere Included,,,
501612,Opua West,Total,18,330,320
501613,Bay of Islands,1,,,
501613,Bay of Islands,2,,,
501613,Bay of Islands,3,,,
501613,Bay of Islands,4,,,
501613,Bay of Islands,5,,,
501613,Bay of Islands,6+,,,
501613,Bay of Islands,Not Elsewhere Included,,,
501613,Bay of Islands,Total,,,
501614,Kapiro,1,15,170,170
501614,Kapiro,2,42,250,240
501614,Kapiro,3,81,300,290
501614,Kapiro,4,45,330,320
501614,Kapiro,5,3,,
501614,Kapiro,6+,0,,
501614,Kapiro,Not Elsewhere Included,0,,
501614,Kapiro,Total,189,290,280
501615,Waitangi,1,12,200,200
501615,Waitangi,2,24,200,200
501615,Waitangi,3,27,300,290
501615,Waitangi,4,9,400,400
501615,Waitangi,5,3,,
501615,Waitangi,6+,3,,
501615,Waitangi,Not Elsewhere Included,0,,
501615,Waitangi,Total,75,240,240
501620,Pokere-Waihaha,1,9,100,110
501620,Pokere-Waihaha,2,48,190,160
501620,Pokere-Waihaha,3,72,150,180
501620,Pokere-Waihaha,4,27,230,210
501620,Pokere-Waihaha,5,3,,
501620,Pokere-Waihaha,6+,0,,
501620,Pokere-Waihaha,Not Elsewhere Included,0,,
501620,Pokere-Waihaha,Total,162,180,180
501631,Okaihau,1,6,,
501631,Okaihau,2,15,160,160
501631,Okaihau,3,33,240,220
501631,Okaihau,4,12,160,170
501631,Okaihau,5,0,,
501631,Okaihau,6+,0,,
501631,Okaihau,Not Elsewhere Included,0,,
501631,Okaihau,Total,66,200,190
501632,Ohaeawai,1,0,,
501632,Ohaeawai,2,12,200,170
501632,Ohaeawai,3,24,220,210
501632,Ohaeawai,4,6,,
501632,Ohaeawai,5,6,,
501632,Ohaeawai,6+,0,,
501632,Ohaeawai,Not Elsewhere Included,3,,
501632,Ohaeawai,Total,48,200,200
501633,Waihou Valley-Hupara,1,30,150,150
501633,Waihou Valley-Hupara,2,36,180,180
501633,Waihou Valley-Hupara,3,90,260,260
501633,Waihou Valley-Hupara,4,45,300,550
501633,Waihou Valley-Hupara,5,6,250,250
501633,Waihou Valley-Hupara,6+,0,,
501633,Waihou Valley-Hupara,Not Elsewhere Included,0,,
501633,Waihou Valley-Hupara,Total,210,250,320
501634,Ngapuhi-Kaikou,1,12,120,140
501634,Ngapuhi-Kaikou,2,30,170,160
501634,Ngapuhi-Kaikou,3,75,180,170
501634,Ngapuhi-Kaikou,4,27,210,220
501634,Ngapuhi-Kaikou,5,3,,
501634,Ngapuhi-Kaikou,6+,3,,
501634,Ngapuhi-Kaikou,Not Elsewhere Included,3,,
501634,Ngapuhi-Kaikou,Total,153,180,170
501700,Kaikohe,1,39,110,120
501700,Kaikohe,2,156,150,140
501700,Kaikohe,3,273,200,190
501700,Kaikohe,4,63,230,230
501700,Kaikohe,5,15,250,240
501700,Kaikohe,6+,6,160,160
501700,Kaikohe,Not Elsewhere Included,12,100,110
501700,Kaikohe,Total,564,190,190
501802,Opouteke-Tanekaha,1,9,120,110
501802,Opouteke-Tanekaha,2,33,180,190
501802,Opouteke-Tanekaha,3,108,200,200
501802,Opouteke-Tanekaha,4,48,280,270
501802,Opouteke-Tanekaha,5,15,380,420
501802,Opouteke-Tanekaha,6+,3,,
501802,Opouteke-Tanekaha,Not Elsewhere Included,3,,
501802,Opouteke-Tanekaha,Total,225,200,290
501806,Marsden Point-Ruakaka,1,30,170,160
501806,Marsden Point-Ruakaka,2,60,240,230
501806,Marsden Point-Ruakaka,3,240,280,270
501806,Marsden Point-Ruakaka,4,99,350,480
501806,Marsden Point-Ruakaka,5,15,350,350
501806,Marsden Point-Ruakaka,6+,3,,
501806,Marsden Point-Ruakaka,Not Elsewhere Included,3,,
501806,Marsden Point-Ruakaka,Total,447,290,280
501807,Ngunguru,1,18,180,180
501807,Ngunguru,2,45,230,250
501807,Ngunguru,3,63,300,290
501807,Ngunguru,4,15,400,370
501807,Ngunguru,5,6,360,380
501807,Ngunguru,6+,3,,
501807,Ngunguru,Not Elsewhere Included,0,,
501807,Ngunguru,Total,147,260,270
501809,Wharekohe-Oakleigh,1,30,150,160
501809,Wharekohe-Oakleigh,2,27,210,220
501809,Wharekohe-Oakleigh,3,78,250,240
501809,Wharekohe-Oakleigh,4,45,300,290
501809,Wharekohe-Oakleigh,5,9,200,230
501809,Wharekohe-Oakleigh,6+,0,,
501809,Wharekohe-Oakleigh,Not Elsewhere Included,0,,
501809,Wharekohe-Oakleigh,Total,189,240,230
501810,Maungatapere,1,3,,
501810,Maungatapere,2,15,210,210
501810,Maungatapere,3,36,300,280
501810,Maungatapere,4,15,350,330
501810,Maungatapere,5,3,,
501810,Maungatapere,6+,0,,
501810,Maungatapere,Not Elsewhere Included,3,,
501810,Maungatapere,Total,75,290,270
501811,Waiotira-Springfield,1,9,90,80
501811,Waiotira-Springfield,2,21,200,180
501811,Waiotira-Springfield,3,72,240,220
501811,Waiotira-Springfield,4,30,280,290
501811,Waiotira-Springfield,5,3,,
501811,Waiotira-Springfield,6+,0,,
501811,Waiotira-Springfield,Not Elsewhere Included,3,,
501811,Waiotira-Springfield,Total,135,230,330
501813,Whangaruru Harbour,1,,,
501813,Whangaruru Harbour,2,,,
501813,Whangaruru Harbour,3,,,
501813,Whangaruru Harbour,4,,,
501813,Whangaruru Harbour,5,,,
501813,Whangaruru Harbour,6+,,,
501813,Whangaruru Harbour,Not Elsewhere Included,,,
501813,Whangaruru Harbour,Total,,,
501814,Punaruku-Kiripaka,1,33,180,170
501814,Punaruku-Kiripaka,2,63,180,190
501814,Punaruku-Kiripaka,3,78,250,250
501814,Punaruku-Kiripaka,4,54,300,300
501814,Punaruku-Kiripaka,5,6,130,130
501814,Punaruku-Kiripaka,6+,0,,
501814,Punaruku-Kiripaka,Not Elsewhere Included,3,,
501814,Punaruku-Kiripaka,Total,234,220,230
501815,Bream Bay,1,3,,
501815,Bream Bay,2,12,200,260
501815,Bream Bay,3,21,310,280
501815,Bream Bay,4,9,320,360
501815,Bream Bay,5,3,,
501815,Bream Bay,6+,0,,
501815,Bream Bay,Not Elsewhere Included,0,,
501815,Bream Bay,Total,51,260,250
501816,Waipu,1,30,110,160
501816,Waipu,2,30,250,320
501816,Waipu,3,63,300,260
501816,Waipu,4,27,290,280
501816,Waipu,5,3,,
501816,Waipu,6+,3,,
501816,Waipu,Not Elsewhere Included,0,,
501816,Waipu,Total,162,260,260
501817,Pataua-Whareora,1,3,,
501817,Pataua-Whareora,2,15,210,210
501817,Pataua-Whareora,3,18,250,220
501817,Pataua-Whareora,4,12,330,1250
501817,Pataua-Whareora,5,0,,
501817,Pataua-Whareora,6+,0,,
501817,Pataua-Whareora,Not Elsewhere Included,0,,
501817,Pataua-Whareora,Total,45,250,250
501818,Parua Bay,1,18,200,210
501818,Parua Bay,2,27,240,220
501818,Parua Bay,3,45,310,340
501818,Parua Bay,4,30,350,350
501818,Parua Bay,5,9,420,490
501818,Parua Bay,6+,0,,
501818,Parua Bay,Not Elsewhere Included,0,,
501818,Parua Bay,Total,129,300,300
501819,Bream Head,1,15,150,140
501819,Bream Head,2,33,220,240
501819,Bream Head,3,51,270,260
501819,Bream Head,4,24,300,290
501819,Bream Head,5,6,,
501819,Bream Head,6+,0,,
501819,Bream Head,Not Elsewhere Included,0,,
501819,Bream Head,Total,126,270,250
502001,Springs Flat,1,21,170,170
502001,Springs Flat,2,24,220,210
502001,Springs Flat,3,30,270,240
502001,Springs Flat,4,9,300,330
502001,Springs Flat,5,3,,
502001,Springs Flat,6+,0,,
502001,Springs Flat,Not Elsewhere Included,0,,
502001,Springs Flat,Total,87,210,220
502002,Three Mile Bush,1,0,,
502002,Three Mile Bush,2,3,,
502002,Three Mile Bush,3,15,260,270
502002,Three Mile Bush,4,18,400,400
502002,Three Mile Bush,5,0,,
502002,Three Mile Bush,6+,0,,
502002,Three Mile Bush,Not Elsewhere Included,0,,
502002,Three Mile Bush,Total,36,380,340
502003,Te Hihi,1,6,250,190
502003,Te Hihi,2,9,210,210
502003,Te Hihi,3,12,300,310
502003,Te Hihi,4,9,410,410
502003,Te Hihi,5,6,,
502003,Te Hihi,6+,0,,
502003,Te Hihi,Not Elsewhere Included,0,,
502003,Te Hihi,Total,45,310,320
502004,Abbeaves,1,,,
502004,Abbeaves,2,,,
502004,Abbeaves,3,6,380,380
502004,Abbeaves,4,,,
502004,Abbeaves,5,,,
502004,Abbeaves,6+,,,
502004,Abbeaves,Not Elsewhere Included,,,
502004,Abbeaves,Total,18,310,320
502005,Otaika-Portland,1,9,0,0
502005,Otaika-Portland,2,12,190,200
502005,Otaika-Portland,3,21,290,300
502005,Otaika-Portland,4,9,360,360
502005,Otaika-Portland,5,9,370,370
502005,Otaika-Portland,6+,0,,
502005,Otaika-Portland,Not Elsewhere Included,0,,
502005,Otaika-Portland,Total,57,260,270
502101,Kamo West,1,27,150,140
502101,Kamo West,2,78,230,210
502101,Kamo West,3,126,300,290
502101,Kamo West,4,51,350,340
502101,Kamo West,5,15,350,310
502101,Kamo West,6+,3,,
502101,Kamo West,Not Elsewhere Included,0,,
502101,Kamo West,Total,291,300,340
502102,Kamo East,1,15,200,200
502102,Kamo East,2,84,230,200
502102,Kamo East,3,204,280,260
502102,Kamo East,4,90,330,440
502102,Kamo East,5,9,240,260
502102,Kamo East,6+,3,,
502102,Kamo East,Not Elsewhere Included,3,,
502102,Kamo East,Total,408,270,260
502201,Tikipunga West,1,45,90,400
502201,Tikipunga West,2,54,240,210
502201,Tikipunga West,3,237,280,240
502201,Tikipunga West,4,51,300,270
502201,Tikipunga West,5,3,,
502201,Tikipunga West,6+,3,,
502201,Tikipunga West,Not Elsewhere Included,3,,
502201,Tikipunga West,Total,399,250,260
502202,Tikipunga East,1,12,90,100
502202,Tikipunga East,2,60,210,180
502202,Tikipunga East,3,171,280,260
502202,Tikipunga East,4,54,340,330
502202,Tikipunga East,5,6,370,370
502202,Tikipunga East,6+,3,,
502202,Tikipunga East,Not Elsewhere Included,3,,
502202,Tikipunga East,Total,303,270,240
502300,Whau Valley,1,30,120,730
502300,Whau Valley,2,108,190,170
502300,Whau Valley,3,108,300,280
502300,Whau Valley,4,30,340,330
502300,Whau Valley,5,3,,
502300,Whau Valley,6+,3,,
502300,Whau Valley,Not Elsewhere Included,3,,
502300,Whau Valley,Total,285,250,290
502400,Otangarei,1,42,60,80
502400,Otangarei,2,72,190,160
502400,Otangarei,3,147,230,190
502400,Otangarei,4,39,150,160
502400,Otangarei,5,6,,
502400,Otangarei,6+,0,,
502400,Otangarei,Not Elsewhere Included,6,0,0
502400,Otangarei,Total,312,150,170
502500,Western Hills,1,,,
502500,Western Hills,2,,,
502500,Western Hills,3,9,290,290
502500,Western Hills,4,,,
502500,Western Hills,5,,,
502500,Western Hills,6+,,,
502500,Western Hills,Not Elsewhere Included,,,
502500,Western Hills,Total,15,310,310
502600,Kensington,1,27,180,170
502600,Kensington,2,96,240,230
502600,Kensington,3,75,300,490
502600,Kensington,4,12,340,340
502600,Kensington,5,0,,
502600,Kensington,6+,0,,
502600,Kensington,Not Elsewhere Included,0,,
502600,Kensington,Total,213,240,240
502700,Mairtown,1,57,160,140
502700,Mairtown,2,171,220,200
502700,Mairtown,3,123,300,280
502700,Mairtown,4,27,340,320
502700,Mairtown,5,6,380,380
502700,Mairtown,6+,0,,
502700,Mairtown,Not Elsewhere Included,3,,
502700,Mairtown,Total,387,250,230
502800,Regent,1,45,160,160
502800,Regent,2,159,230,230
502800,Regent,3,69,300,270
502800,Regent,4,21,350,320
502800,Regent,5,6,400,400
502800,Regent,6+,3,,
502800,Regent,Not Elsewhere Included,3,,
502800,Regent,Total,303,240,240
502900,Woodhill,1,57,140,140
502900,Woodhill,2,93,220,210
502900,Woodhill,3,93,290,280
502900,Woodhill,4,36,350,690
502900,Woodhill,5,3,,
502900,Woodhill,6+,3,,
502900,Woodhill,Not Elsewhere Included,3,,
502900,Woodhill,Total,279,250,290
503000,Vinetown,1,72,160,150
503000,Vinetown,2,153,230,220
503000,Vinetown,3,111,290,280
503000,Vinetown,4,21,280,250
503000,Vinetown,5,3,,
503000,Vinetown,6+,0,,
503000,Vinetown,Not Elsewhere Included,3,,
503000,Vinetown,Total,366,220,220
503100,Whangareentral,1,9,210,210
503100,Whangareentral,2,15,190,190
503100,Whangareentral,3,3,,
503100,Whangareentral,4,6,,
503100,Whangareentral,5,0,,
503100,Whangareentral,6+,0,,
503100,Whangareentral,Not Elsewhere Included,0,,
503100,Whangareentral,Total,30,210,250
503200,Riverside,1,15,170,180
503200,Riverside,2,48,200,180
503200,Riverside,3,36,310,290
503200,Riverside,4,9,250,230
503200,Riverside,5,3,,
503200,Riverside,6+,0,,
503200,Riverside,Not Elsewhere Included,0,,
503200,Riverside,Total,108,200,330
503300,Horahora,1,27,120,140
503300,Horahora,2,36,220,230
503300,Horahora,3,54,300,310
503300,Horahora,4,30,350,330
503300,Horahora,5,0,,
503300,Horahora,6+,0,,
503300,Horahora,Not Elsewhere Included,3,,
503300,Horahora,Total,150,270,250
503400,Maunu,1,3,,
503400,Maunu,2,12,200,190
503400,Maunu,3,48,350,350
503400,Maunu,4,21,350,350
503400,Maunu,5,6,,
503400,Maunu,6+,3,,
503400,Maunu,Not Elsewhere Included,0,,
503400,Maunu,Total,93,350,340
503500,Raumanga East,1,33,180,180
503500,Raumanga East,2,48,180,170
503500,Raumanga East,3,126,270,250
503500,Raumanga East,4,30,290,270
503500,Raumanga East,5,3,,
503500,Raumanga East,6+,0,,
503500,Raumanga East,Not Elsewhere Included,3,,
503500,Raumanga East,Total,246,240,220
503600,Morningside,1,36,160,160
503600,Morningside,2,87,210,190
503600,Morningside,3,138,300,380
503600,Morningside,4,42,310,290
503600,Morningside,5,6,280,280
503600,Morningside,6+,3,,
503600,Morningside,Not Elsewhere Included,0,,
503600,Morningside,Total,315,260,290
503700,Parahaki,1,9,150,160
503700,Parahaki,2,12,240,240
503700,Parahaki,3,60,300,290
503700,Parahaki,4,21,340,280
503700,Parahaki,5,3,,
503700,Parahaki,6+,3,,
503700,Parahaki,Not Elsewhere Included,0,,
503700,Parahaki,Total,111,300,300
503800,Raumanga West,1,15,170,160
503800,Raumanga West,2,60,200,190
503800,Raumanga West,3,237,250,230
503800,Raumanga West,4,54,300,260
503800,Raumanga West,5,9,350,360
503800,Raumanga West,6+,3,,
503800,Raumanga West,Not Elsewhere Included,3,,
503800,Raumanga West,Total,384,250,220
503900,Port-Limeburners,1,,,
503900,Port-Limeburners,2,,,
503900,Port-Limeburners,3,,,
503900,Port-Limeburners,4,,,
503900,Port-Limeburners,5,,,
503900,Port-Limeburners,6+,,,
503900,Port-Limeburners,Not Elsewhere Included,,,
503900,Port-Limeburners,Total,6,,
504000,Sherwood Rise,1,39,170,170
504000,Sherwood Rise,2,87,210,180
504000,Sherwood Rise,3,186,290,270
504000,Sherwood Rise,4,63,300,270
504000,Sherwood Rise,5,9,390,320
504000,Sherwood Rise,6+,0,,
504000,Sherwood Rise,Not Elsewhere Included,6,,
504000,Sherwood Rise,Total,390,260,240
504100,Onerahi,1,9,250,260
504100,Onerahi,2,60,220,190
504100,Onerahi,3,111,280,270
504100,Onerahi,4,33,270,240
504100,Onerahi,5,3,,
504100,Onerahi,6+,3,,
504100,Onerahi,Not Elsewhere Included,3,,
504100,Onerahi,Total,222,250,230
504300,Hikurangi,1,9,90,100
504300,Hikurangi,2,27,210,190
504300,Hikurangi,3,87,260,260
504300,Hikurangi,4,18,250,250
504300,Hikurangi,5,3,,
504300,Hikurangi,6+,3,,
504300,Hikurangi,Not Elsewhere Included,0,,
504300,Hikurangi,Total,147,250,250
504400,Te Kopuru,1,3,,
504400,Te Kopuru,2,12,150,150
504400,Te Kopuru,3,18,210,210
504400,Te Kopuru,4,9,160,140
504400,Te Kopuru,5,3,,
504400,Te Kopuru,6+,0,,
504400,Te Kopuru,Not Elsewhere Included,3,,
504400,Te Kopuru,Total,45,180,190
504501,Kaiparoastal,1,18,130,140
504501,Kaiparoastal,2,33,190,160
504501,Kaiparoastal,3,120,170,170
504501,Kaiparoastal,4,42,160,170
504501,Kaiparoastal,5,9,120,120
504501,Kaiparoastal,6+,0,,
504501,Kaiparoastal,Not Elsewhere Included,0,,
504501,Kaiparoastal,Total,219,170,170
504502,Maungaru,1,3,,
504502,Maungaru,2,24,130,120
504502,Maungaru,3,48,180,190
504502,Maungaru,4,30,180,170
504502,Maungaru,5,6,210,210
504502,Maungaru,6+,0,,
504502,Maungaru,Not Elsewhere Included,0,,
504502,Maungaru,Total,111,150,160
504600,Dargaville,1,54,130,140
504600,Dargaville,2,141,180,170
504600,Dargaville,3,267,210,200
504600,Dargaville,4,63,220,430
504600,Dargaville,5,12,260,250
504600,Dargaville,6+,3,,
504600,Dargaville,Not Elsewhere Included,3,,
504600,Dargaville,Total,543,200,180
504700,Maungaturoto,1,15,110,110
504700,Maungaturoto,2,12,180,160
504700,Maungaturoto,3,24,220,210
504700,Maungaturoto,4,15,250,220
504700,Maungaturoto,5,3,,
504700,Maungaturoto,6+,3,,
504700,Maungaturoto,Not Elsewhere Included,0,,
504700,Maungaturoto,Total,72,200,190
504800,Ruawai,1,9,100,100
504800,Ruawai,2,6,160,160
504800,Ruawai,3,27,160,160
504800,Ruawai,4,6,100,100
504800,Ruawai,5,0,,
504800,Ruawai,6+,0,,
504800,Ruawai,Not Elsewhere Included,0,,
504800,Ruawai,Total,51,150,160
504900,Kaiwaka,1,6,150,140
504900,Kaiwaka,2,12,150,150
504900,Kaiwaka,3,30,260,260
504900,Kaiwaka,4,9,220,220
504900,Kaiwaka,5,0,,
504900,Kaiwaka,6+,3,,
504900,Kaiwaka,Not Elsewhere Included,0,,
504900,Kaiwaka,Total,60,220,240
505010,Rehia-Oneriri,1,36,110,130
505010,Rehia-Oneriri,2,72,200,190
505010,Rehia-Oneriri,3,156,180,180
505010,Rehia-Oneriri,4,72,230,240
505010,Rehia-Oneriri,5,24,240,260
505010,Rehia-Oneriri,6+,6,230,240
505010,Rehia-Oneriri,Not Elsewhere Included,3,,
505010,Rehia-Oneriri,Total,366,180,180
505021,Mangawhai,1,6,,
505021,Mangawhai,2,24,240,220
505021,Mangawhai,3,60,300,280
505021,Mangawhai,4,12,330,330
505021,Mangawhai,5,3,,
505021,Mangawhai,6+,0,,
505021,Mangawhai,Not Elsewhere Included,0,,
505021,Mangawhai,Total,99,280,270
505022,Mangawhai Heads,1,36,110,130
505022,Mangawhai Heads,2,36,220,200
505022,Mangawhai Heads,3,57,260,250
505022,Mangawhai Heads,4,15,360,330
505022,Mangawhai Heads,5,3,,
505022,Mangawhai Heads,6+,0,,
505022,Mangawhai Heads,Not Elsewhere Included,0,,
505022,Mangawhai Heads,Total,147,250,220
505300,Wellsford,1,12,170,170
505300,Wellsford,2,45,230,220
505300,Wellsford,3,102,280,260
505300,Wellsford,4,30,300,270
505300,Wellsford,5,9,340,340
505300,Wellsford,6+,3,,
505300,Wellsford,Not Elsewhere Included,3,,
505300,Wellsford,Total,204,260,250
505400,Leigh,1,3,,
505400,Leigh,2,12,260,250
505400,Leigh,3,15,310,330
505400,Leigh,4,6,,
505400,Leigh,5,0,,
505400,Leigh,6+,0,,
505400,Leigh,Not Elsewhere Included,0,,
505400,Leigh,Total,36,300,330
505500,Warkworth,1,30,210,190
505500,Warkworth,2,111,300,270
505500,Warkworth,3,192,360,350
505500,Warkworth,4,57,420,400
505500,Warkworth,5,21,400,380
505500,Warkworth,6+,3,,
505500,Warkworth,Not Elsewhere Included,3,,
505500,Warkworth,Total,417,350,370
505601,Waimauku,1,6,,
505601,Waimauku,2,9,300,300
505601,Waimauku,3,18,430,460
505601,Waimauku,4,12,550,500
505601,Waimauku,5,0,,
505601,Waimauku,6+,0,,
505601,Waimauku,Not Elsewhere Included,0,,
505601,Waimauku,Total,45,430,410
505602,Huapai,1,15,200,180
505602,Huapai,2,33,320,320
505602,Huapai,3,51,410,670
505602,Huapai,4,15,500,510
505602,Huapai,5,6,,
505602,Huapai,6+,0,,
505602,Huapai,Not Elsewhere Included,0,,
505602,Huapai,Total,120,350,360
505603,Riverhead Urban,1,3,,
505603,Riverhead Urban,2,12,200,200
