2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit,fare zone
Rewiti,174.44983,-36.77734,C
Riverhead,174.5576,-36.71761,C
Riverhead Urban,174.59458,-36.7546,C
Roberton,174.69962,-36.89334,A
Rongomai,174.89442,-36.9658,B
Rosebank,174.67573,-36.87924,A
Rosehill,174.93747,-37.07936,B
Rothesay Bay,174.74256,-36.72417,B
Rowandale,174.87216,-37.02857,B
Royal Heights,174.62893,-36.833,B
Royal Oak,174.76735,-36.90535,A
Royal Road West,174.61256,-36.83429,B
Runciman,174.95069,-37.13226,C
Sandringham East,174.73826,-36.89316,A
Sandringham North,174.73925,-36.88136,A
Sandringham West,174.7322,-36.88985,A
Seacliffe,174.78863,-36.80588,B
Shelly Park,174.94712,-36.90925,B
Sherbourne,174.75927,-36.87609,A
Silverdale Central,174.67067,-36.61629,B
Silverdale North,174.66016,-36.58861,C
Silverdale South,174.69809,-36.65047,B
Snells Beach,174.71616,-36.41231,C
South Head,174.30265,-36.58199,C
South Waiuku,174.73973,-37.25997,C
Springleigh,174.70791,-36.88556,A
St Heliers,174.86048,-36.85288,A
St Johns,174.84788,-36.87612,A
St Lukes,174.73162,-36.87532,A
St Lukes North,174.72868,-36.87045,A
St Marys,174.74503,-36.84286,A
Stanley Bay,174.7845,-36.8264,B
Stanmore Bay East,174.74175,-36.62931,B
Stanmore Bay West,174.72781,-36.62369,B
Starling Park,174.60628,-36.85822,B
Stillwater,174.71617,-36.6382,B
Stonefields,174.8397,-36.88835,A
Sturges North,174.60688,-36.87706,B
Sunnybrae,174.74027,-36.78871,B
Sunnyhills,174.87617,-36.90591,B
Sunnynook,174.74079,-36.75406,B
Sunnyvale,174.64256,-36.89956,B
Surrey Crescent,174.72922,-36.86472,A
Swanson,174.58049,-36.86414,B
Swanson South,174.56848,-36.8791,B
Tahekeroa,174.58548,-36.60053,C
Takanini North,174.92935,-37.03154,B
Takanini South,174.93756,-37.04593,B
Takanini West,174.91053,-37.04417,B
Takapuna Central,174.76895,-36.78401,B
Tamaki,174.86179,-36.89612,A
Tangutu,174.63643,-36.91538,B
Target Road,174.73001,-36.76373,B
Tauhoa-Puhoi,174.50709,-36.43464,C
Taupaki,174.57128,-36.82049,C
Te Atatu Central,174.64946,-36.84709,B
Te Papapa,174.80009,-36.92344,A
Three Kings,174.74911,-36.9026,A
Titirangi South,174.65555,-36.94694,B
Torbay,174.75023,-36.69574,B
Totara Heights,174.91361,-37.00888,B
Tuff Crater,174.75222,-36.80204,B
Turanga,174.98823,-36.9363,C
Unsworth Heights,174.71604,-36.75731,B
Urlich,174.59872,-36.86116,B
Vipond,174.71727,-36.61755,B
Viscount,174.79003,-36.96566,B
Wade Heads,174.73359,-36.63662,B
Waiake,174.74241,-36.70679,B
Waiata,174.8072,-36.87743,A
Waiheke Island,175.10359,-36.79593,W
Waikowhai East,174.7429,-36.92805,A
Waikowhai West,174.73163,-36.92982,A
Waima,174.6357,-36.94578,B
Waimauku,174.48701,-36.76537,C
Waimumu North,174.61239,-36.84112,B
Waimumu South,174.61643,-36.84961,B
