2013 area unit name,2013 area unit code
Wesley,518802
Royal Road West,513512
Clendon North,524821
Springleigh,517901
Cape Rodney South,506661
Starling Park,513212
Vipond,505906
St Johns,517201
Panmure Basin,520602
Sherbourne,518102
Herne Bay,515201
Surrey Crescent,515431
Kilkenny,523110
New Lynn South,511302
Glen Innes East,517002
Dairy Flat-Redvale,506300
Howick West,521601
Glendene South,511602
Mt Eden East,518202
Favona West,524403
One Tree Hill Central,519300
Bucklands Beach South,522604
Helensville,506800
Red Beach West,505807
Paremoremo East,509000
Opaheke,525520
New Lynn North,511301
Clevedon,525201
Eden Terrace,515600
Karekare,513800
Stanmore Bay East,505908
Stanmore Bay West,505907
Gulf Harbour,505910
Favona North,524404
Owairaka West,517902
Mission Heights,523116
Papakura North,525420
Bayswater,508120
Manurewa East,524902
Palm Heights,513012
Awhitu,521151
Kaukapakapa Rural,506646
Red Hill,525700
Patumahoe,521121
Ponsonby West,515301
Beaumont,525002
Laingholm,512801
Waima,512700
Campbells Bay,507500
Golfland,523105
Parnell East,515901
Urlich,513211
Lynnmall,511303
Stonefields,517202
Hyperion,523817
Hobsonville South,513432
Henderson West,513011
Stanley Bay,509500
Glenbrook,521152
Parrs Park West,512903
Ellerslie South,520202
Shelly Park,523201
Turanga,523202
Papakura Central,525410
Opanuku,513020
Otahuhu East,521803
Homai West,524712
Arahanga,524121
Whenuapai West,513410
Rewiti,506652
Waitakere,513702
Windsor Park,508805
Massey Park,525620
Bleakhouse,522603
Silverdale Central,505806
Kumeu West,505605
Herald,513420
Wellsford,505300
Mt Wellington Domain,520301
Otara North,523501
Papakura South,525510
Hingaia,521201
Burswood,523107
Newton,514200
Point Chevalier South,515003
South Waiuku,526105
Arch Hill,515500
Huapai,505602
South Head,506642
Birdwood East,513622
Kumeu East,505604
Mt Hobson,516001
Hatfields Beach,505804
Ardmore,523813
Parrs Park,512904
Pigeon Mountain South,522721
Westgate,513511
Riverhead Urban,505603
Swanson,513101
Wymondley,523403
Swanson South,513102
Muriwai Beach,506654
Silverdale South,506003
Paerata-Cape Hill,521111
Grafton East,514302
Hobsonville East,513431
Parakai Urban,506645
Kawakawa-Orere,525202
Waimauku,505601
Waipareira West,505700
Long Bay,508900
Great Barrier Island,521000
Taupaki,513701
Stillwater,506002
Mill Road,523819
Redoubt East,523818
St Lukes North,515432
Bombay,521160
Silverdale North,506201
Paremoremo West,506400
Muriwai Valley,506655
Penrose,519500
Algies Bay,506633
Grange,523404
Manukau Central,524604
Omaha,506658
Waitakere West,506656
Eden Road-Hill Top,521112
Parakai Rural,506644
Helensville South,506648
Buckland,521116
Whangapouri Creek,521202
Birdwood West,513621
Runciman,521302
Armour Bay,512802
Weiti River,506001
Kaukapakapa,506647
Leigh,505400
Point Wells,506657
Bremner,521203
Mahurangi,506634
Massey West,513610
Matakana,506659
Waiwera,505803
Paparata,521134
Oratia West,512905
Mangere Station,524402
Matheson Bay,506616
Middlemore,521902
Orewa West,506202
Kawau,506620
Islands-Motutapu Rangitoto Rakino,520900
Kaikoura and Rangiahua Islands,616001
Highbrook,523112
