2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Edgewater,174.86997,-36.91866
Edmonton,174.64218,-36.86466
Egmont Village,174.14354,-39.14581
Eketahuna,175.70155,-40.64866
Elderslea,175.0571,-41.11991
Ellerslie North,174.81635,-36.89391
Ellerslie South,174.81141,-36.90168
Elsdon-Takapuwahia,174.8108,-41.132
Elsmore Park,174.89902,-36.90864
Elsthorpe-Flemington,176.62989,-40.11493
Eltham,174.30034,-39.43376
Emerald Hill,175.10039,-41.09696
Endeavour,174.90247,-41.11349
Enderley,175.29629,-37.7723
Enner Glynn,173.26317,-41.3162
Ensors,172.66508,-43.54655
Epsom Central,174.7699,-36.88779
Epsom North,174.77144,-36.87607
Epsom South,174.76684,-36.89628
Epuni East,174.93779,-41.21067
Epuni West,174.92733,-41.20573
Eskdale,176.86296,-39.38353
Esplanade,174.88875,-41.2307
Eureka,175.38214,-37.73033
Evansdale,170.53848,-45.65629
Eyrewell,172.32984,-43.41018
Fairburn,174.84963,-36.94701
Fairdene,174.62526,-36.86555
Fairfax,168.03551,-46.17029
Fairfield,170.39734,-45.90016
Fairhall,173.88252,-41.54399
Fairlie,170.82619,-44.10032
Fairton,171.80369,-43.88387
Fairview,174.71678,-36.71009
Fairview Downs,175.3033,-37.7621
Fairview-Scarborough,171.21516,-44.42312
Fairy Springs,176.22696,-38.11283
Favona North,174.80905,-36.9492
Favona South,174.81091,-36.95586
Favona West,174.80013,-36.95591
Featherston,175.32688,-41.11586
Feilding Central,175.57023,-40.21939
Feilding East,175.58239,-40.22313
Feilding North,175.56919,-40.20828
Feilding West,175.55731,-40.2253
Fendalton,172.5846,-43.5185
Fenton,176.25906,-38.15218
Ferguson,174.88254,-36.96617
Ferndale,174.82779,-36.90266
Fernhill,170.49688,-45.88359
Fernlea,174.93334,-41.26437
Fernleigh,174.06461,-39.09103
Fernside,172.51426,-43.30602
Ferrymead,172.69414,-43.55116
Fiordland,167.06705,-45.63219
